Actor,Gross
Phil Vischer,25571351
Kay Panabaker,25584685
Jere Burns,25590119
James Nesbitt,25611458
Jessica Paré,25662242
Justin Chon,25677097
Tyler James Williams,25771218
James Kyson,25926543
MyAnna Buring,26032205
Mackenzie Davis,26049082
Sunny Mabrey,26082914
Elden Henson,26096584
Sierra McCormick,26161406
Richard Wilson,26400000
Kim Director,26421314
Warren Beatty,26525834
Eoin Macken,26583369
J.D. Evermore,26616999
Wood Harris,26803366
Marley Shelton,26832953
Craig Ferguson,26872749
Johnny Lewis,26876529
Hulk Hogan,26906039
Peter Gallagher,27019096
William Holden,27200000
Steven Mackintosh,27281507
Sterling Jerins,27285953
Khandi Alexander,27332035
Janet Jackson,27515786
Ruby Dee,27545445
Michael Raymond-James,27550735
James Lafferty,27689474
Laila Haley,27736779
Caroline Dhavernas,27758465
Jaime King,27834732
Zach Gilford,27845637
Martin Starr,27947064
Ken Arnold,28064226
Michael Smiley,28221697
Carlos Ponce,28390724
Steve Irwin,28399192
Jenny Agutter,28501605
Kurtwood Smith,28589693
Thomas F. Wilson,28603428
Justin Theroux,28622533
Rip Torn,28718433
Harry Styles,28873374
Samira Wiley,28876924
Daniel Mays,28995450
Sela Ward,29062561
Josh Wingate,29136626
David Keith,29200721
Lily Tomlin,29239123
Rosie Perez,29781453
Jay Laga'aia,29975979
Rick Yune,29986898
Clu Gulager,30000000
Fanny Ardant,30012990
Isaiah Washington,30079316
Cheryl Hines,30105968
Jessie T. Usher,30127963
Shelley Conn,30212620
Christian Monzon,30222640
Aaliyah,30307804
Austin Pendleton,30400000
Blanchard Ryan,30500882
Tika Sumpter,30513940
Sid Haig,30648144
Jack Reynor,30659817
Sean Pertwee,30966749
50 Cent,30981850
Noah Bean,30993544
Joseph Gilgun,31056480
Augustus Prew,31136950
Robert Baker,31199215
Willie Garson,31286130
Kieran Culkin,31293515
Frances Fisher,31320776
Clifton Collins Jr.,31393188
Gerry Bednob,31452765
Christian Clemenson,31471430
Shelley Hennig,31537320
Jack Davenport,31585300
Nicholas Gonzalez,31605436
Angie Dickinson,31899000
Sam Shepard,31904068
Nat Wolff,31990064
Janet Leigh,32000000
Richard Burgi,32003620
Marisa Saks,32014289
William McNamara,32051917
Brittany Daniel,32079854
Jeff Fahey,32101000
Sullivan Stapleton,32131483
Jurnee Smollett-Bell,32200508
David Jason Perez,32230907
Françoise Yip,32333860
Alexis Arquette,32368960
Richard Cabral,32453345
Marc Blucas,32474855
Emilia Fox,32519322
Lily Atkinson,32553210
Pamela Reed,32598931
Judie Aronson,32600000
Jeremy Shada,32774834
Tina Desai,33071558
Mathieu Kassovitz,33201661
Common,33215247
Catherine Hicks,33244684
Melina Kanakaredes,33328051
Barack Obama,33349949
Sally Hawkins,33409427
Kirk Cameron,33451479
Callum Rennie,33734415
Jennifer Jason Leigh,33856141
John Kapelos,33927476
Sarah Polley,34236941
Ben Davies,34522221
Jim Gaffigan,34546579
Tony Curran,34548559
Matt Price,34580635
Robert Davi,34667015
Armando Riesco,34889970
Mako,34900000
Joseph Cotten,34900000
Kathleen Turner,35023294
Nicki Aycox,35143332
Debra Messing,35228696
Jon Seda,35422828
Taylor Negron,35541044
Violante Placido,35596227
Stephen Rea,35777645
Lauren Cohan,35794166
Noah Taylor,35811509
Brian Thompson,35927406
Richard Burton,36000000
Gloria Grahame,36000000
Denis O'Hare,36020063
Adam Arkin,36037909
Charlie Rowe,36073232
Tina Turner,36200000
Richard Brooker,36200000
Blair Brown,36279230
Farrah Fawcett,36540112
Steven Anthony Lawrence,36830057
Peter Firth,36874745
Wilford Brimley,36875520
Lisa Edelstein,37036404
Bianca Kajlich,37053924
Hunter Parrish,37150328
Bobby Lee,37371385
Tiago Riani,37432299
Ben Feldman,37445090
Amber Valletta,37486138
Ivana Baquero,37623143
Richard Lawson,37672350
Emily Watson,37730566
Jordi Mollà,37734246
Shô Kosugi,38105077
Joan Rivers,38119483
Talulah Riley,38372662
James Martin Kelly,38509342
James Wilcox,38543473
William Hurt,38589726
Teo Halm,38916903
Lois Smith,39025000
Ashley Williams,39026186
Rae'Ven Kelly,39100956
Bai Ling,39251128
Vinessa Shaw,39514713
Frances Bavier,39552600
Danny Huston,39568996
Catherine Deneuve,39760901
Fisher Stevens,39849547
Raymond Cruz,40048332
Jennifer Freeman,40066497
Jordana Brewster,40161748
Jim Meskimen,40218903
Jessica Barden,40247512
Ben Gazzara,40250028
Gregory Smith,40507309
Laura Harring,40534417
Sharon Small,40566655
Jeffrey Combs,40846082
Caleb Landry Jones,40990055
Lauren German,41227069
Armin Mueller-Stahl,41256277
Kevin McNally,41309709
Sam Trammell,41797066
Bolo Yeung,41908836
Ian Somerhalder,42346686
Shelley Duvall,42365600
Alyson Stoner,42385520
Essence Atkins,42634491
Colin Ferguson,42640890
Mehcad Brooks,42643187
Paige Turco,42660000
Clayton Snyder,42672630
Cedric the Entertainer,43230407
Rami Malek,43568507
Raoul Bova,43601508
Rita Moreno,43650000
Henry Ian Cusick,43755615
Hal Holbrook,43848100
Kate Upton,44328238
Laura Ramsey,44433033
Mia Sara,44450000
Eugenio Derbez,44456509
Morgan Saylor,44469602
Bérénice Bejo,44667095
Jack Palance,44726644
Oliver Hudson,44771061
John Saxon,44793200
Curtis Armstrong,44868461
Peter Coyote,44989048
Noah Huntley,45063889
Lorraine Bracco,45500797
Emma Bell,45530757
Nate Parker,45684633
Craig Parker,45802315
Devin Ratray,46037455
Richard E. Grant,46074122
Barry Watson,46363118
Sarah Carter,46455802
Caroline Munro,46800000
Edgar Arreola,46875468
Tate Donovan,46975183
Johnny Cannizzaro,47034272
Ayelet Zurer,47379090
Andrew Fiscella,47680687
Gena Rowlands,47806295
Seymour Cassel,47812413
Billy Crudup,47838239
Elizabeth McGovern,48043505
Danielle Kotch,48056940
Dania Ramirez,48114556
Jim Sturgess,48772779
Demián Bichir,49061869
Scott Porter,49134684
Tuesday Knight,49369900
Zoë Kravitz,49447710
Kane Hodder,49449045
Jimmy Fallon,49454062
Lilli Lavine,49968653
Andrea Corr,49994804
Topol,50000000
Kathleen Quinlan,50129186
Jenna Fischer,50306511
Frances Conroy,50700529
Lane Smith,50752337
Ryan O'Neal,50800000
Isaac Hempstead Wright,50807639
Rudy Youngblood,50859889
Emma Watson,50873484
Honor Blackman,51100000
Joe Don Baker,51185897
Brenda Song,51432423
Jensen Ackles,51527787
Eric Mendenhall,51697449
Luke Bracey,51746151
Jennifer Esposito,52190831
Marshall Bell,52287414
Michael Moore,52481794
Charlie McDermott,52722460
Mark Rylance,52792307
Fernanda Andrade,53245055
Michiel Huisman,53267732
Matt Shively,53884821
Chelan Simmons,54098051
Craig Stark,54116191
Manish Dayal,54235441
Lou Taylor Pucci,54239856
Óscar Jaenada,54257433
Esai Morales,54520486
Jake Busey,54700065
Dax Flame,54724272
Matt Walsh,55008959
Julia Ormond,55255636
Charles S. Dutton,55473600
Bernie Casey,55500000
Dave Chappelle,55509415
Taran Killam,56127162
Sam Claflin,56154094
Heather Locklear,56167398
Roger Allam,56437947
Corinna Harney,56607223
Keir Dullea,56715371
Kurt Fuller,56816662
Xander Berkeley,56932305
Jeffrey Jones,57294308
Patton Oswalt,57484734
John Cothran,57504069
Drake Bell,57842808
Robert Pine,57859105
Illeana Douglas,57866996
Cassie Ventura,58006147
Antony Starr,58156435
Keisha Castle-Hughes,58390743
Olivier Martinez,58399280
Alice Krige,58800000
James Babson,59035104
Sayed Badreya,59617068
Roma Downey,59696176
Shane Black,59735548
Joaquim de Almeida,59898996
Vanessa Redgrave,59973111
Chris Elliott,60008303
Blythe Danner,60443237
Fann Wong,60470220
Quincy Jones,60507228
Kevin Zegers,60692045
Mira Sorvino,60705180
Ivana Milicevic,60720953
Pink,60923325
Mark Gatiss,60988443
Alun Armstrong,61355436
Hector Elizondo,61504403
Corbin Bernsen,61595075
James Corden,61720593
Beverly D'Angelo,62236641
Julian Glover,62300000
Theo James,62321039
Amber Stevens West,62494975
Brandon T. Jackson,62620575
Paddy Considine,62642572
Arliss Howard,63411478
Kath Soucie,63624047
Robert Ri'chard,64097618
Eddie Cahill,64371181
Rhys Wakefield,64423650
Shawna Waldron,65000000
David Hyde Pierce,65060430
Ocean James,65069140
Ari Graynor,65120649
Michael Angarano,65794640
Eddie Cibrian,65987670
Scoot McNairy,66239305
Cory Hardrict,66359959
Krista Allen,66466372
Sydney Pollack,66790248
Vincent Pastore,66860511
Scout Taylor-Compton,66907160
Jamie Renée Smith,67155742
Eddie Redmayne,67183560
Charlyne Yi,67523385
Louis Jourdan,67900000
Carmen Electra,67956980
Patrick Macnee,68286000
Nicholas Lea,68473360
Judith Barsi,68855859
Doug E. Doug,68856263
Leonard Roberts,68912300
Eddie Marsan,68925666
Brian Dennehy,70000986
Alex Veadov,70011073
Bono,70346450
