Type,Title,Year,Score,Budget,Cast_Likes,Gross,movie_likes
Color,Wreck-It Ralph ,2012,7.8,165000000,4451,189412677,40000
Color,Wrath of the Titans ,2012,5.8,150000000,16184,83640426,19000
Color,World War Z ,2013,7,190000000,32392,202351611,129000
Color,World Trade Center ,2006,6,63000000,14421,70236496,0
Color,Woodstock ,1970,8.1,600000,778,13300000,0
Color,Woo ,1998,3.8,13000000,3352,8026971,204
Color,Wonderland ,2003,6.6,5000000,1315,1056102,1000
Color,Wonder Boys ,2000,7.4,55000000,22974,19389454,0
Color,Woman on Top ,2000,5.3,8000000,2687,5018450,859
Color,Woman in Gold ,2015,7.3,11000000,17866,33305037,34000
Color,Wolf ,1994,6.2,70000000,1439,65012000,0
Color,Witness ,1985,7.4,12000000,22479,65500000,0
Color,Witless Protection ,2008,3.1,7500000,4091,4131640,140
Color,Without Limits ,1998,7.2,25000000,4351,777423,942
Color,Without a Paddle ,2004,5.9,19000000,1266,58156435,0
Color,Witchboard ,1986,5.7,2000000,901,7369373,0
Color,Wish I Was Here ,2014,6.7,6000000,18947,3588432,0
Color,Winter's Tale ,2014,6.2,60000000,22447,22451,17000
Color,Winter's Bone ,2010,7.2,2000000,34446,6531491,20000
Color,Winter Passing ,2005,6.4,3500000,20009,101228,414
Color,Winter in Wartime ,2008,7.1,4000000,219,542860,0
Color,Winnie the Pooh ,2011,7.3,30000000,1002,26687172,0
Color,Winged Migration ,2001,8,160000000,66,10762178,1000
Color,Wing Commander ,1999,4.1,30000000,2497,11576087,858
Color,Windtalkers ,2002,6,115000000,15046,40911830,0
Color,Win a Date with Tad Hamilton! ,2004,5.6,24000000,4681,16964743,876
Color,Wimbledon ,2004,6.3,31000000,9330,16831505,0
Color,Willard ,2003,6.2,22000000,1267,6852144,0
Color,Wild Wild West ,1999,4.8,170000000,15870,113745408,0
Color,Wild Things ,1998,6.5,20000000,14275,29753944,0
Color,Wild Target ,2010,6.9,8000000,11770,117190,0
Color,Wild ,2014,7.1,15000000,4896,37877959,38000
Color,Wicker Park ,2004,7,60000000,1358,25662242,0
Color,Why Did I Get Married? ,2007,5.6,15000000,6510,55184721,1000
Color,Why Did I Get Married Too? ,2010,4.4,20000000,6657,60072596,0
Color,Who's Your Caddy? ,2007,2,7000000,3128,5694308,446
Color,Who Killed the Electric Car? ,2006,7.7,1000000,1447,1677838,0
Color,Whiteout ,2009,5.5,35000000,1947,10268846,0
Color,White Squall ,1996,6.6,38000000,16237,10300000,911
Color,White Oleander ,2002,7.2,16000000,2572,16346122,0
Color,White Noise ,2005,5.5,10000000,2013,55865715,0
Color,White House Down ,2013,6.4,150000000,18204,73103784,33000
Color,White Fang ,1991,6.7,14000000,552,34793160,0
Color,White Chicks ,2004,5.4,37000000,6313,69148997,0
Color,Whipped ,2000,4.4,3000000,858,4142507,131
Color,Whiplash ,2014,8.5,3300000,26495,13092000,129000
Color,Whip It ,2009,6.9,15000000,2633,13034417,10000
Color,While We're Young ,2014,6.3,10000000,6322,7574066,0
Color,Where the Wild Things Are ,2009,6.8,100000000,1738,77222184,11000
Color,Where the Truth Lies ,2005,6.5,25000000,16090,871527,507
Color,Where the Heart Is ,2000,6.8,15000000,22383,33771174,0
Color,When the Game Stands Tall ,2014,6.7,15000000,525,30127963,0
Color,When the Cat's Away ,1996,6.9,300000,102,1652472,166
Color,When Harry Met Sally... ,1989,7.6,16000000,485,92823600,0
Color,When Did You Last See Your Father? ,2007,6.9,8000000,15848,1071240,429
Color,When a Stranger Calls ,2006,5,15000000,2452,47860214,0
Color,Whatever Works ,2009,7.2,15000000,2717,5306447,10000
Color,Whatever It Takes ,2000,5.5,15000000,13524,8735529,816
Color,What's Your Number? ,2011,6,20000000,15713,13987482,0
Color,What's the Worst That Could Happen? ,2001,5.5,45000000,3664,32095318,304
Color,What's Eating Gilbert Grape ,1993,7.8,11000000,69746,9170214,14000
Color,What Women Want ,2000,6.4,70000000,5838,182805123,0
Color,What to Expect When You're Expecting ,2012,5.7,40000000,13396,41102171,14000
Color,What Planet Are You From? ,2000,5.6,50000000,3954,6291602,255
Color,What Lies Beneath ,2000,6.6,100000000,12890,155370362,0
Color,What Just Happened ,2008,5.7,25000000,71973,1089365,845
Color,What Happens in Vegas ,2008,6.1,35000000,1026,80276912,0
Color,What Dreams May Come ,1998,7,85000000,49631,55350897,32000
Color,What a Girl Wants ,2003,5.8,20000000,16400,35990505,0
Color,Whale Rider ,2002,7.6,6000000,497,20772796,0
Color,West Side Story ,1961,7.6,6000000,1802,43650000,0
Color,Wendy and Lucy ,2008,7.1,200000,460,856942,0
Color,Welcome to the Dollhouse ,1995,7.5,800000,1502,4771000,0
Color,Welcome to Mooseport ,2004,5.2,26000000,2466,14469428,260
Color,Welcome to Collinwood ,2002,6.4,12000000,1373,333976,423
Color,"Welcome Home, Roscoe Jenkins ",2008,5.3,35000000,3565,42168445,464
Color,Weekend ,2011,7.7,120000,654,469947,0
Color,We're the Millers ,2013,7,37000000,3425,150368971,35000
Color,We're No Angels ,1989,6,20000000,24887,10555348,855
Color,We Were Soldiers ,2002,7.1,75000000,6181,78120196,5000
Color,We Own the Night ,2007,6.9,21000000,3681,28563179,0
Color,We Need to Talk About Kevin ,2011,7.5,7000000,3547,1738692,38000
Color,We Are Your Friends ,2015,6.1,2000000,3013,3590010,0
Color,We Are Marshall ,2006,7.1,65000000,12088,43532294,0
Color,Wayne's World ,1992,7,20000000,4263,121697350,0
Color,Waterworld ,1995,6.1,175000000,1004,88246220,0
Color,Water for Elephants ,2011,6.9,38000000,36062,58700247,33000
Color,Watchmen ,2009,7.7,130000000,2530,107503316,18000
Color,Wasabi ,2001,6.6,15300000,303,81525,0
Color,Warriors of Virtue ,1997,4.6,35000000,1993,6448817,0
Color,Warrior ,2011,8.2,25000000,29692,13651662,77000
Color,Warm Bodies ,2013,6.9,35000000,337,66359959,81000
Color,Warlock: The Armageddon ,1993,5.3,3000000,1806,3902679,217
Color,Warlock ,1989,6.2,7000000,1990,9094451,0
Color,WarGames ,1983,7.1,12000000,4537,79568000,0
Color,Warcraft ,2016,7.3,160000000,5505,46978995,89000
Color,"War, Inc. ",2008,5.7,10000000,988,578527,883
Color,War of the Worlds ,2005,6.5,132000000,12758,234277056,0
Black and White,War Horse ,2011,7.2,66000000,46726,79883359,28000
Color,War ,2007,6.3,25000000,33565,22466994,0
Color,Wanted ,2008,6.7,75000000,25763,134568845,0
Color,Waltz with Bashir ,2008,8,1500000,56,2283276,0
Color,WALL·E ,2008,8.4,180000000,2975,223806889,16000
Color,Wall Street: Money Never Sleeps ,2010,6.3,70000000,1579,52474616,13000
Color,Wall Street ,1987,7.4,15000000,1607,43848100,0
Color,Walking with Dinosaurs 3D ,2013,5.2,80000000,1971,36073232,0
Color,Walking Tall ,2004,6.2,56000000,14146,45860039,0
Color,Walking and Talking ,1996,6.8,1000000,2400,1277257,227
Color,Walk the Line ,2005,7.9,28000000,1383,119518352,11000
Color,Walk Hard: The Dewey Cox Story ,2007,6.7,35000000,1082,18317151,0
Color,Waking Ned Devine ,1998,7.4,3000000,1965,24788807,0
Color,Waitress ,2007,7.1,2000000,1981,19067631,0
Color,Waiting... ,2005,6.8,3000000,19957,16101109,0
Color,Waiting for Guffman ,1996,7.6,4000000,3559,2892582,0
Color,Wah-Wah ,2005,6.9,7000000,2544,233103,311
Color,Wag the Dog ,1997,7.1,15000000,29252,43022524,12000
Color,W. ,2008,6.4,25100000,4264,25517500,0
Color,Volcano ,1997,5.4,90000000,5062,47474112,2000
Color,Virtuosity ,1995,5.5,30000000,20772,24048000,0
Color,Victor Frankenstein ,2015,6,120000000,38628,17320557,33000
Color,Vicky Cristina Barcelona ,2008,7.2,15500000,19894,23213577,14000
Color,Very Bad Things ,1998,6.3,10000000,6046,9801782,0
Color,Vertical Limit ,2000,5.9,75000000,3424,68473360,0
Color,Veronica Guerin ,2003,6.9,17000000,409,1569918,0
Color,Vera Drake ,2004,7.7,11000000,3133,3753806,0
Color,Veer-Zaara ,2004,7.9,7000000,9984,2921738,2000
Color,Varsity Blues ,1999,6.4,16000000,23369,52885587,0
Color,Vantage Point ,2008,6.6,40000000,6775,72266306,0
Color,Vanity Fair ,2004,6.2,23000000,1618,16123851,767
Color,Vanilla Sky ,2001,6.9,68000000,11458,100614858,0
Color,Van Wilder: Party Liaison ,2002,6.4,6000000,19341,21005329,0
Color,Vamps ,2012,5.1,16000000,3086,2964,0
Color,Vampires Suck ,2010,3.5,20000000,2898,36658108,16000
Color,Vampires ,1998,6.1,20000000,5123,20241395,0
Color,Vampire in Brooklyn ,1995,4.5,20000000,2348,19900000,1000
Color,Valley of the Heart's Delight ,2006,6.6,2500000,1064,118666,144
Color,Valkyrie ,2008,7.1,75000000,14165,83077470,0
Color,Valiant ,2005,5.6,35000000,1908,19447478,538
Color,Valentine's Day ,2010,5.7,52000000,45696,110476776,9000
Color,Valentine ,2001,4.7,10000000,2402,20384136,0
Color,Vacation ,2015,6.1,31000000,40312,58879132,28000
Color,V for Vendetta ,2005,8.2,54000000,22417,70496802,48000
Color,Urbania ,2000,7,225000,964,1027119,72
Color,Urban Legends: Final Cut ,2000,4.1,14000000,2682,21468807,243
Color,Urban Legend ,1998,5.5,14000000,3500,38048637,0
Color,Up in the Air ,2009,7.4,25000000,35209,83813460,19000
Color,Up Close & Personal ,1996,6.1,60000000,3653,51045801,829
Color,Up ,2009,8.3,175000000,2635,292979556,27000
Color,Untraceable ,2008,6.2,35000000,3612,28687835,0
Color,Unstoppable ,2010,6.8,100000000,25780,81557479,18000
Color,Unleashed ,2005,7,45000000,22383,24520892,0
Color,Unknown ,2011,6.9,60000000,34303,122189806,58000
Color,Universal Soldier: The Return ,1999,4.1,24000000,4024,10431220,401
Color,United 93 ,2006,7.6,15000000,313,31471430,0
Color,Unfriended ,2014,5.7,1000000,1565,31537320,13000
Color,Unforgiven ,1992,8.3,14400000,28544,101157447,10000
Color,Unfinished Business ,2015,5.4,35000000,1564,10214013,0
Color,Unfaithful ,2002,6.7,50000000,2583,52752475,0
Black and White,Undisputed ,2002,6.1,20000000,2880,12398628,977
Color,Undiscovered ,2005,4.2,9000000,1835,1046166,128
Color,Underworld: Rise of the Lycans ,2009,6.6,35000000,2184,45802315,0
Color,Underworld: Evolution ,2006,6.8,50000000,2998,62318875,0
Color,Underworld: Awakening ,2012,6.4,70000000,5861,62321039,24000
Color,Underworld ,2003,7,22000000,1777,51483949,0
Color,Undercover Brother ,2002,5.8,25000000,3001,38230435,0
Color,Underclassman ,2005,4.1,25000000,2165,5654777,206
Color,Under the Tuscan Sun ,2003,6.7,18000000,1310,43601508,0
Color,Under the Rainbow ,1981,5.4,20000000,1761,8500000,501
Color,Under Siege 2: Dark Territory ,1995,5.4,60000000,2318,50024083,1000
Color,Unbroken ,2014,7.2,130000000,5876,231207960,70000
Color,Unbreakable ,2000,7.2,75000000,33645,94999143,0
Color,Unaccompanied Minors ,2006,5.1,26000000,4431,16647384,498
Color,Ultraviolet ,2006,4.4,30000000,15271,18500966,0
Color,Ulee's Gold ,1997,7.1,2700000,787,9054736,381
Color,UHF ,1989,7,5000000,3942,6157157,0
Color,U-571 ,2000,6.6,62000000,14931,77086030,0
Color,Two Weeks Notice ,2002,6.1,60000000,2636,93307796,0
Color,Two Lovers ,2008,7.1,12000000,1540,3148482,0
Color,Two Girls and a Guy ,1997,5.6,1000000,21124,1950218,387
Color,Two Evil Eyes ,1990,6.1,9000000,2942,349618,375
Color,Two Can Play That Game ,2001,6.1,6000000,2815,22235901,593
Color,Two Brothers ,2004,7.1,59660000,55,18947630,2000
Color,Twister ,1996,6.3,92000000,26239,241688385,0
Color,Twins ,1988,6,15000000,2151,111936400,0
Color,Twin Falls Idaho ,1999,7.3,500000,3166,985341,180
Color,Twilight Zone: The Movie ,1983,6.5,10000000,1954,29500000,0
Color,Twilight ,2008,5.2,74000000,88121,382898950,38000
Color,Tusk ,2014,5.4,3000000,43810,1821983,20000
Color,Turbulence ,1997,4.7,71000000,3952,11466088,316
Color,Turbo ,2013,6.5,135000000,17416,83024900,13000
Color,Tumbleweeds ,1999,6.7,312000,1986,1281176,121
Color,Tuck Everlasting ,2002,6.7,15000000,2661,19158074,0
Color,Tsotsi ,2005,7.3,3000000,278,2912363,0
Color,Trust the Man ,2005,5.7,9000000,1721,1530535,215
Color,Trust ,2010,7,9500000,916,58214,10000
Color,True Romance ,1993,8,13000000,23602,12281500,15000
Color,True Lies ,1994,7.2,115000000,4528,146282411,0
Color,True Grit ,2010,7.7,38000000,25964,171031347,36000
Color,Trucker ,2008,6.7,2000000,89263,52166,371
Color,Troy ,2004,7.2,175000000,17944,133228348,0
Color,Tropic Thunder ,2008,7,92000000,23484,110416702,0
Color,Troop Beverly Hills ,1989,5.5,18000000,2368,8508843,0
Color,TRON: Legacy ,2010,6.8,340000000,51099,344103574,60000
Color,Trollhunter ,2010,7,19900000,44,252652,38000
Color,Tristram Shandy: A Cock and Bull Story ,2005,6.8,2800000,3690,1247453,750
Color,Triple 9 ,2016,6.3,20000000,27214,12626905,0
Color,Tremors ,1990,7.1,11000000,3119,16667084,11000
Color,Trekkies ,1997,7,375000,2864,617172,672
Color,Trees Lounge ,1996,7.2,1300000,14420,695229,872
Color,Treasure Planet ,2002,7.1,140000000,26940,38120554,0
Color,Travelers and Magicians ,2003,7.5,1800000,0,505295,353
Color,Transsiberian ,2008,6.7,15000000,1252,2203641,0
Color,Transporter 2 ,2005,6.3,32000000,29050,43095600,0
Color,Transformers: Revenge of the Fallen ,2009,6,200000000,3218,402076689,0
Color,Transformers: Dark of the Moon ,2011,6.3,195000000,2593,352358779,46000
Color,Transformers: Age of Extinction ,2014,5.7,210000000,3988,245428137,56000
Color,Transformers ,2007,7.1,150000000,2333,318759914,8000
Color,Transcendence ,2014,6.3,100000000,54031,23014504,37000
Color,Transamerica ,2005,7.4,1000000,3192,9013113,0
Color,Trance ,2013,7,40000000,10112,4638374,46000
Color,Trainwreck ,2015,6.3,35000000,1450,110008260,25000
Color,Trainspotting ,1996,8.2,3500000,3559,16501785,21000
Color,Training Day ,2001,7.7,45000000,22370,76261036,0
Color,Traffic ,2000,7.6,48000000,1418,124107476,0
Color,Trade ,2007,7.5,12000000,1952,214202,0
Color,Toy Story 3 ,2010,8.3,200000000,19085,414984497,30000
Color,Toy Story 2 ,1999,7.9,90000000,21275,245823397,0
Color,Toy Story ,1995,8.3,30000000,19046,191796233,0
Color,Town & Country ,2001,4.4,90000000,3133,6712451,53
Color,Tower Heist ,2011,6.2,75000000,3768,78009155,0
Color,Total Recall ,1990,7.5,130000000,2882,238825842,0
Color,Torque ,2004,4,40000000,5039,21176322,0
Color,Tora! Tora! Tora! ,1970,7.5,25000000,1548,14500000,0
Color,Topsy-Turvy ,1999,7.4,10000000,1690,6201757,608
Color,Top Spin ,2014,7.1,150000,0,5858,116
Black and White,Top Hat ,1935,7.8,609000,824,3000000,1000
Color,Top Gun ,1986,6.9,15000000,13069,176781728,19000
Color,Top Five ,2014,6.5,12000000,5592,25277561,0
Color,Tootsie ,1982,7.4,22000000,14701,177200000,0
Color,Tomorrowland ,2015,6.5,190000000,5046,93417865,37000
Color,Tomorrow Never Dies ,1997,6.5,110000000,2958,125332007,0
Color,Tomcats ,2001,5.3,11000000,2729,13558739,449
Color,Tombstone ,1993,7.8,25000000,4453,56505065,11000
Color,To Save a Life ,2009,7.1,1000000,2563,3773863,0
Color,To Rome with Love ,2012,6.3,17000000,1205,16684352,18000
Color,To Die For ,1995,6.8,20000000,3598,21200000,1000
Color,TMNT ,2007,6.3,34000000,16571,54132596,0
Color,Titanic ,1997,7.7,200000000,45223,658672302,26000
Color,Titan A.E. ,2000,6.6,75000000,15857,22751979,0
Color,Tiny Furniture ,2010,6.3,65000,2530,389804,0
Color,Tinker Tailor Soldier Spy ,2011,7.1,20000000,46241,24104113,24000
Color,Tin Cup ,1996,6.3,45000000,3648,53854588,1000
Color,Timeline ,2003,5.6,80000000,43887,19480739,0
Color,Timecrimes ,2007,7.2,2600000,239,38108,0
Color,Timecop ,1994,5.8,27000000,2010,44450000,0
Color,Time to Choose ,2015,7,3500000,24,29233,121
Color,Time Changer ,2002,5.6,825000,1185,15278,409
Color,Time Bandits ,1981,7,5000000,2730,42365600,0
Color,Tim and Eric's Billion Dollar Movie ,2012,5.3,3000000,1467,200803,0
Color,Thunderbirds ,2004,4.2,57000000,2260,6768055,437
Color,Thunderball ,1965,7,9000000,1164,63600000,0
Color,Thunder and the House of Magic ,2013,6.3,34000000,369,4091,0
Color,Thumbsucker ,2005,6.6,4000000,1208,1325073,708
Color,Three to Tango ,1999,6.1,20000000,4843,10544143,311
Color,Three Kings ,1999,7.1,48000000,3743,60652036,3000
Color,Three Burials ,2005,7.5,15000000,1627,5023275,0
Color,Thr3e ,2006,5.1,2400000,2306,978908,250
Color,Thor: The Dark World ,2013,7.1,170000000,59803,206360018,63000
Color,Thor ,2011,7,150000000,60059,181015141,63000
Color,Thomas and the Magic Railroad ,2000,3.6,19000000,2429,15911333,663
Color,This Means War ,2012,6.3,65000000,29808,54758461,18000
Color,This Is Where I Leave You ,2014,6.6,19800000,4662,34290142,14000
Color,This Is the End ,2013,6.7,32000000,38751,101470202,97000
Color,This Is It ,2009,7.3,60000000,679,71844424,0
Color,This Is England ,2006,7.7,1500000,3282,327919,11000
Color,This Is 40 ,2012,6.2,35000000,1050,67523385,18000
Color,This Christmas ,2007,6.1,13000000,6554,49121934,0
Color,Thirteen Days ,2000,7.3,80000000,1825,34566746,0
Color,Thirteen Conversations About One Thing ,2001,7.1,4500000,12250,3287435,430
Color,Thirteen ,2003,6.8,1500000,2186,4599680,0
Color,Thir13en Ghosts ,2001,5.5,20000000,3023,41867960,0
Color,Thinner ,1996,5.7,8500000,2777,15171475,0
Color,Think Like a Man Too ,2014,5.7,24000000,4830,65182182,3000
Color,Think Like a Man ,2012,6.6,12000000,5165,91547205,0
Color,Things We Lost in the Fire ,2007,7.2,16000000,1889,2849142,0
Color,Things to Do in Denver When You're Dead ,1995,6.8,7000000,14889,529766,0
Color,They Live ,1988,7.3,4000000,837,13008928,27000
Color,They ,2002,4.8,17000000,4060,12693621,814
Color,There's Something About Mary ,1998,7.1,23000000,4664,176483808,0
Color,There Will Be Blood ,2007,8.1,25000000,533,40218903,16000
Color,There Goes My Baby ,1994,6.4,10500000,2272,125169,119
Color,There Be Dragons ,2011,5.9,36000000,3497,1068392,2000
Color,The Young Victoria ,2009,7.3,35000000,5890,10991381,0
Color,The Young Messiah ,2016,5.4,18500000,824,6462576,0
Color,The Young and Prodigious T.S. Spivet ,2013,7.1,33000000,1843,99462,5000
Color,The Yellow Handkerchief ,2008,6.8,15500000,30978,317040,1000
Color,The Yards ,2000,6.4,24000000,11433,882710,401
Color,The X Files: I Want to Believe ,2008,5.9,30000000,2351,20981633,0
Color,The X Files ,1998,7,66000000,4230,83892374,0
Color,The Wrestler ,2008,7.9,6000000,1582,26236603,10000
Color,The Wraith ,1986,5.9,2700000,2319,3500000,0
Color,The World's Fastest Indian ,2005,7.9,25000000,12574,5128124,11000
Color,The World's End ,2013,7,20000000,278,26003149,49000
Color,The World Is Not Enough ,1999,6.4,135000000,2037,126930660,2000
Color,The Work and the Glory II: American Zion ,2005,6.6,6500000,1942,2024854,19
Color,The Work and the Glory ,2004,6.9,7500000,1233,3347439,31
Color,The Words ,2012,7.1,6000000,51355,11434867,21000
Color,The Wood ,1999,6.9,6000000,2724,25047631,990
Color,The Women ,2008,4.9,16500000,3485,26896744,0
Color,The Woman in Black ,2012,6.4,17000000,11946,54322273,29000
Black and White,The Woman Chaser ,1999,7.3,1200000,168,110720,73
Color,The Wolverine ,2013,6.7,120000000,23755,132550960,68000
Color,The Wolfman ,2010,5.8,150000000,13071,61937495,0
Color,The Wolf of Wall Street ,2013,8.2,100000000,46057,116866727,138000
Black and White,The Wizard of Oz ,1939,8.1,2800000,2509,22202612,14000
Color,The Wiz ,1978,5.2,24000000,1458,13000000,0
Color,The Witch ,2015,6.8,3500000,1122,25138292,43000
Color,The Wild Thornberrys Movie ,2002,5.2,25000000,2908,39880476,187
Color,The Widow of Saint-Pierre ,2000,7.3,100000000,2389,3058380,186
Color,The Whole Ten Yards ,2004,5.5,40000000,18085,16323969,462
Color,The Whole Nine Yards ,2000,6.7,24000000,17582,57262492,0
Black and White,The White Ribbon ,2009,7.8,12000000,167,2222647,0
Color,The White Countess ,2005,6.7,16000000,2096,1666262,356
Color,The Wendell Baker Story ,2005,5.5,8000000,9608,127144,143
Color,The Wedding Planner ,2001,5.2,35000000,17533,60400856,0
Color,The Wedding Date ,2005,6.1,15000000,2666,31585300,0
Color,The Weather Man ,2005,6.6,22000000,13156,12469811,0
Color,The Way Way Back ,2013,7.4,5000000,8375,21501098,22000
Color,The Way of the Gun ,2000,6.7,8500000,358,6047856,1000
Black and White,The Waterboy ,1998,6.1,20000000,13823,161487252,0
Color,The Water Diviner ,2014,7.1,22500000,1795,4190530,18000
Color,The Watcher ,2000,5.3,33000000,18688,28927720,463
Color,The Watch ,2012,5.7,136000000,4974,68701106,30000
Color,The Wash ,2001,4.6,4000000,955,10097096,842
Color,The Warrior's Way ,2010,6.3,45000000,2056,5664251,0
Color,The Warlords ,2007,7.1,40000000,6267,128978,0
Color,The Walk ,2015,7.4,35000000,23031,10137502,24000
Color,The Wackness ,2008,7,6000000,2748,2077046,0
Color,The Vow ,2012,6.8,30000000,18322,125014030,32000
Color,The Visual Bible: The Gospel of John ,2003,7.7,17000000,1281,4068087,0
Color,The Visit ,2015,6.2,5000000,1010,65069140,27000
Color,The Virginity Hit ,2010,4.6,3400000,768,535249,974
Color,The Virgin Suicides ,1999,7.2,6000000,7103,4859475,0
Color,The Village ,2004,6.5,60000000,7273,114195633,0
Color,The Verdict ,1982,7.8,16000000,2330,54000000,0
Color,The Vatican Tapes ,2015,4.5,8495000,7875,1712111,0
Color,The Usual Suspects ,1995,8.6,6000000,20821,23272306,28000
Color,The Upside of Anger ,2005,6.9,9000000,2944,18761993,549
Color,The Untouchables ,1987,7.9,25000000,22767,76270454,0
Color,The Unborn ,2009,4.8,32000000,24366,85276330,0
Color,The Ugly Truth ,2009,6.5,38000000,22436,88915214,9000
Color,The Twilight Saga: New Moon ,2009,4.6,50000000,64040,296623634,13000
Color,The Twilight Saga: Eclipse ,2010,4.9,68000000,52547,300523113,29000
Color,The Twilight Saga: Breaking Dawn - Part 2 ,2012,5.5,240000000,118354,584597846,130000
Color,The Tuxedo ,2002,5.3,60000000,2018,50189179,797
Color,The Truman Show ,1998,8.1,60000000,3698,125603360,18000
Color,The Triplets of Belleville ,2003,7.8,9500000,29,7002255,0
Color,The Trials of Darryl Hunt ,2006,7.7,200000,2,1111,246
Color,The Tree of Life ,2011,6.7,32000000,13021,13303319,39000
Color,The Transporter Refueled ,2015,5.1,25000000,1411,16027866,0
Color,The Transporter ,2002,6.8,21000000,27572,25296447,0
Color,The Toxic Avenger Part II ,1989,5.1,2300000,99,792966,321
Color,The Town ,2010,7.6,37000000,14296,92173235,29000
Color,The Tourist ,2010,6,200000000,110350,135262314,50000
Color,The To Do List ,2013,5.8,1500000,2667,3447339,0
Color,The Time Traveler's Wife ,2009,7.1,39000000,568,63411478,13000
Color,The Time Machine ,2002,5.9,80000000,1919,56684819,3000
Color,The Tigger Movie ,2000,6.3,30000000,575,45542421,347
Color,The Three Musketeers ,2011,5.8,75000000,27694,20315324,19000
Color,The Thomas Crown Affair ,1999,6.8,48000000,4660,69304264,0
Color,The Thirteenth Floor ,1999,7,16000000,2389,15500000,0
Color,The Thing ,1982,8.2,15000000,1757,13782838,23000
Color,The Thin Red Line ,1998,7.6,52000000,1937,36385763,0
Color,The Theory of Everything ,2014,7.7,15000000,14100,35887263,90000
Color,The Texas Chainsaw Massacre: The Beginning ,2006,5.9,16000000,26402,39511038,0
Color,The Texas Chainsaw Massacre 2 ,1986,5.5,4700000,302,8025872,0
Color,The Texas Chain Saw Massacre ,1974,7.5,167064,2188,61718000,0
Color,The Terminator ,1984,8.1,6500000,3582,38400000,13000
Color,The Terminal ,2004,7.3,60000000,16199,77032279,16000
Color,The Ten ,2007,5,5250000,4883,766487,915
Color,The Tempest ,2010,5.4,20000000,3785,263365,0
Color,The Talented Mr. Ripley ,1999,7.3,40000000,36810,81292135,0
Color,The Tale of Despereaux ,2008,6.1,60000000,13403,50818750,0
Color,The Taking of Pelham 1 2 3 ,2009,6.4,100000000,19906,65452312,0
Color,The Tailor of Panama ,2001,6.1,18000000,14995,13491653,813
Color,The Switch ,2010,6.1,19000000,1292,27758465,0
Color,The Swindle ,1997,6.6,60000000,1256,231417,33
Color,The Sweetest Thing ,2002,5.1,43000000,132,24430272,0
Color,The Sweet Hereafter ,1997,7.7,5000000,2820,4306697,920
