Type,Title,Year,Score,Gross
Color,A Christmas Carol ,2009,6.8,137850096
Color,A Christmas Story ,1983,8.1,
Color,A Cinderella Story ,2004,5.9,51431160
Color,A Civil Action ,1998,6.5,56702901
Color,A Dangerous Method ,2011,6.5,5702083
Color,A Dog of Flanders ,1999,6.3,2148212
Color,A Dog's Breakfast ,2007,7,
Black and White,A Farewell to Arms ,1932,6.6,
Color,A Few Good Men ,1992,7.6,141340178
Color,A Fistful of Dollars ,1964,8,3500000
Color,A Funny Thing Happened on the Way to the Forum ,1966,7,
Color,A Good Day to Die Hard ,2013,5.3,67344392
Color,A Good Year ,2006,6.9,7458269
Black and White,A Guy Named Joe ,1943,7,
Color,A Guy Thing ,2003,5.6,15408822
Black and White,A Hard Day's Night ,1964,7.7,515005
Color,A Haunted House 2 ,2014,4.7,17314483
Color,A Haunted House ,2013,5.1,40041683
Color,A History of Violence ,2005,7.5,31493782
Color,A Home at the End of the World ,2004,6.8,1029017
Color,A Knight's Tale ,2001,6.9,56083966
Black and White,A League of Their Own ,1992,7.2,107458785
Color,A Lego Brickumentary ,2014,6.8,100240
Color,A Lonely Place to Die ,2011,6.3,
Color,A Lot Like Love ,2005,6.6,21835784
Color,A Low Down Dirty Shame ,1994,5.8,29392418
Color,A Madea Christmas ,2013,4.7,52528330
Color,A Man Apart ,2003,6.1,26183197
Color,A Man for All Seasons ,1966,7.9,
Color,A Mighty Heart ,2007,6.7,9172810
Color,A Mighty Wind ,2003,7.3,17508936
Color,A Million Ways to Die in the West ,2014,6.1,42615685
Color,A Monster in Paris ,2011,6.8,
Color,A Most Violent Year ,2014,7,5749134
Color,A Most Wanted Man ,2014,6.8,17237244
Color,A Night at the Roxbury ,1998,6.2,30324946
Color,A Nightmare on Elm Street 2: Freddy's Revenge ,1985,5.4,30000000
Color,A Nightmare on Elm Street 3: Dream Warriors ,1987,6.6,44793200
Color,A Nightmare on Elm Street 4: The Dream Master ,1988,5.7,49369900
Black and White,A Nightmare on Elm Street 5: The Dream Child ,1989,5.1,22168359
Color,A Nightmare on Elm Street ,1984,7.5,53010000
Color,A Passage to India ,1984,7.4,26400000
Color,A Perfect Getaway ,2009,6.5,15483540
Color,A Perfect Plan ,2012,6.3,
Color,A Plague So Pleasant ,2013,6.3,
Color,A Prairie Home Companion ,2006,6.8,20338609
Color,A Room for Romeo Brass ,1999,7.7,18434
Color,A Room with a View ,1985,7.4,20966644
Color,A Scanner Darkly ,2006,7.1,5480996
Color,A Separation ,2011,8.4,7098492
Color,A Serious Man ,2009,7,9190525
Color,A Shine of Rainbows ,2009,7.2,
Color,A Simple Plan ,1998,7.5,16311763
Color,A Simple Wish ,1997,5.4,8119205
Color,A Single Man ,2009,7.6,9166863
Color,A Sound of Thunder ,2005,4.2,1891821
Black and White,A Streetcar Named Desire ,1951,8,
Color,A Tale of Three Cities ,2015,6.2,
Color,A Thin Line Between Love and Hate ,1996,5.6,34746109
Color,A Thousand Words ,2012,5.9,18438149
Color,A Time to Kill ,1996,7.4,108706165
Color,A True Story ,2013,5.5,
Color,A Turtle's Tale: Sammy's Adventures ,2010,6.1,
Color,A Very Harold & Kumar 3D Christmas ,2011,6.3,35033759
Color,A Very Long Engagement ,2004,7.7,6167817
Color,A View to a Kill ,1985,6.3,50300000
Color,A Walk Among the Tombstones ,2014,6.5,25977365
Color,A Walk on the Moon ,1999,6.6,4741987
Color,A Walk to Remember ,2002,7.4,41227069
Color,A Warrior's Tail ,2015,4.1,
Color,"A Woman, a Gun and a Noodle Shop ",2009,5.7,381332
Color,A.I. Artificial Intelligence ,2001,7.1,78616689
Color,Abandon ,2002,4.9,10719367
Color,Abandoned ,2015,6.3,
Color,ABCD (Any Body Can Dance) ,2013,6.4,95236
Color,Abduction ,2011,5,28064226
Color,Aberdeen ,2000,7.3,64148
Color,About a Boy ,2002,7.1,40566655
Color,About Last Night ,2014,6.1,48637684
Color,About Schmidt ,2002,7.2,65010106
Color,About Time ,2013,7.8,15294553
Color,Abraham Lincoln: Vampire Hunter ,2012,5.9,37516013
Color,Absentia ,2011,5.8,
Color,Absolute Power ,1997,6.7,50007168
Color,Accidental Love ,2015,4,
Color,Ace Ventura: Pet Detective ,1994,6.9,72217000
Color,Ace Ventura: When Nature Calls ,1995,6.3,108360000
Color,Across the Universe ,2007,7.4,48687346
Color,Act of Valor ,2012,6.5,70011073
Color,Action Jackson ,1988,5.2,20257000
Color,Adam Resurrected ,2008,6.3,
Color,Adam ,2009,7.2,2277396
Color,Adaptation. ,2002,7.7,22245861
Color,Addicted ,2014,5.2,17382982
Color,Admission ,2013,5.7,18004225
Color,Adore ,2013,6.2,317125
Color,Adulterers ,2015,4.9,
Color,Adventureland ,2009,6.8,16025394
Color,Æon Flux ,2005,5.5,25857987
Color,After Earth ,2013,4.9,60522097
Color,After the Sunset ,2004,6.3,28328132
Color,After ,2012,5.4,
Color,After.Life ,2009,5.9,108229
Color,Against the Ropes ,2004,5.3,5881504
Color,Against the Wild ,2013,4.7,
Color,Agent Cody Banks 2: Destination London ,2004,4.5,23222861
Color,Agent Cody Banks ,2003,5,47285499
Color,Agora ,2009,7.2,617840
Color,Aimee & Jaguar ,1999,7.3,927107
Color,Air Bud ,1997,5.1,24629916
Color,Air Force One ,1997,6.4,172620724
Color,Airborne ,1993,6.2,2850263
Color,Airlift ,2016,8.5,
Color,Airplane! ,1980,7.8,83400000
Color,Ajami ,2009,7.4,621240
Color,Akeelah and the Bee ,2006,7.5,18811135
Color,Akira ,1988,8.1,439162
Color,Aladdin ,1992,8,217350219
Color,Albert Nobbs ,2011,6.7,3014541
Color,Albino Alligator ,1996,6.1,326308
Color,Alex & Emma ,2003,5.6,14208384
Color,Alex Cross ,2012,5.1,25863915
Color,Alex Rider: Operation Stormbreaker ,2006,5.1,652526
Color,"Alexander and the Terrible, Horrible, No Good, Very Bad Day ",2014,6.2,66950483
Color,Alexander ,2004,5.5,34293771
Black and White,Alexander's Ragtime Band ,1938,7,
Color,Alfie ,2004,6.2,13395939
Black and White,Ali ,2001,6.8,58183966
Color,Alias Betty ,2001,6.9,206400
Color,Alice in Wonderland ,2010,6.5,668370412
Color,Alice Through the Looking Glass ,2016,6.4,76846624
Color,Alien 3 ,1992,6.4,55473600
Color,Alien Uprising ,2012,3.1,
Color,Alien Zone ,1978,4.1,
Color,Alien ,1979,8.5,78900000
Color,Alien: Resurrection ,1997,6.3,47748610
Color,Aliens in the Attic ,2009,5.4,25200412
Color,Aliens vs. Predator: Requiem ,2007,4.7,41797066
Color,Aliens ,1986,8.4,85200000
Color,Alive ,1993,7.1,36733909
Color,All About Steve ,2009,4.8,33860010
Color,All About the Benjamins ,2002,5.7,25482931
Color,All Good Things ,2010,6.3,578382
Color,All Hat ,2007,5.3,
Color,All Is Bright ,2013,5.6,4556
Color,All Is Lost ,2013,6.9,6262942
Color,All or Nothing ,2002,7.6,112935
Color,All Superheroes Must Die ,2011,4,
Color,All That Jazz ,1979,7.8,
Color,All the Boys Love Mandy Lane ,2006,5.6,
Black and White,All the King's Men ,2006,6.2,7221458
Color,All the Pretty Horses ,2000,5.8,15527125
Color,All the Queen's Men ,2001,4.5,22723
Color,All the Real Girls ,2003,6.9,548712
Color,Allegiant ,2016,5.8,66002193
Color,Alleluia! The Devil's Carnival ,2016,7.4,
Color,Almost Famous ,2000,7.9,32522352
Color,Aloft ,2014,5.3,52961
Color,Aloha ,2015,5.4,41982994
Color,Alone in the Dark ,2005,2.3,5132655
Black and White,Alone with Her ,2006,6.1,10018
Color,Along Came a Spider ,2001,6.3,74058698
Color,Along Came Polly ,2004,5.9,87856565
Color,Along the Roadside ,2013,7.1,
Color,Alpha and Omega ,2010,5.3,25077977
Color,Alvin and the Chipmunks ,2007,5.2,217326336
Color,Alvin and the Chipmunks: Chipwrecked ,2011,4.4,133103929
Color,Alvin and the Chipmunks: The Road Chip ,2015,5,85884815
Color,Alvin and the Chipmunks: The Squeakquel ,2009,4.5,219613391
Color,Always Woodstock ,2014,5.3,
Color,Amadeus ,1984,8.3,51600000
Black and White,Amélie ,2001,8.4,33201661
Color,Amen. ,2002,7.3,274299
Color,America Is Still the Place ,2015,7.5,
Color,American Beauty ,1999,8.4,130058047
Color,American Desi ,2001,6.7,902835
Color,American Dreamz ,2006,5.5,7156725
Color,American Gangster ,2007,7.8,130127620
Color,American Graffiti ,1973,7.5,115000000
Color,American Heist ,2014,5.2,
Color,American Hero ,2015,4.9,
Black and White,American History X ,1998,8.6,6712241
Color,American Hustle ,2013,7.3,150117807
Color,American Ninja 2: The Confrontation ,1987,4.7,4000000
Color,American Outlaws ,2001,6,13264986
Color,American Pie 2 ,2001,6.4,145096820
Color,American Pie ,1999,7,101736215
Color,American Psycho ,2000,7.6,15047419
Color,American Reunion ,2012,6.7,56724080
Color,American Sniper ,2014,7.3,350123553
Color,American Splendor ,2003,7.5,6003587
Color,American Wedding ,2003,6.3,104354205
Color,America's Sweethearts ,2001,5.7,93607673
Color,Amidst the Devil's Wings ,2014,4.3,
Color,Amigo ,2010,5.8,183490
Color,Amistad ,1997,7.2,44175394
Color,Amnesiac ,2014,4.3,
Color,Among Giants ,1998,5.9,64359
Color,Amores Perros ,2000,8.1,5383834
Color,Amour ,2012,7.9,225377
Color,An Alan Smithee Film: Burn Hollywood Burn ,1997,3.5,15447
Color,An American Carol ,2008,4.3,7001720
Color,An American Girl Holiday ,2004,7.2,
Color,An American Haunting ,2005,5,16298046
Color,An American in Hollywood ,2014,7.2,
Color,An Education ,2009,7.3,12574715
Color,An Everlasting Piece ,2000,6.3,75078
Color,An Ideal Husband ,1999,6.9,18535191
Color,An Inconvenient Truth ,2006,7.5,23808111
Color,An Unfinished Life ,2005,7,8535575
Color,Anaconda ,1997,4.6,65557989
Color,Anacondas: The Hunt for the Blood Orchid ,2004,4.6,31526393
Color,Analyze That ,2002,5.9,32122249
Color,Analyze This ,1999,6.7,106694016
Color,Anastasia ,1997,7.1,58297830
Color,Anatomy ,2000,6.1,5725
Color,Anchorman 2: The Legend Continues ,2013,6.3,2175312
Color,Anchorman: The Legend of Ron Burgundy ,2004,7.2,84136909
Color,And So It Goes ,2014,5.7,15155772
Color,And Then Came Love ,2007,4.8,
Color,Anderson's Cross ,2010,7.2,
Color,Angel Eyes ,2001,5.6,24044532
Color,Angela's Ashes ,1999,7.3,13038660
Color,Angels & Demons ,2009,6.7,133375846
Color,Animal House ,1978,7.6,141600000
Color,Animal Kingdom: Let's go Ape ,2015,4.9,
Color,Animals United ,2010,4.9,
Color,Animals ,2014,6.2,
Color,Anna and the King ,1999,6.7,39251128
Color,Anna Karenina ,2012,6.6,12802907
Color,Annabelle ,2014,5.4,84263837
Color,Annie Get Your Gun ,1950,7,8000000
Color,Annie Hall ,1977,8.1,39200000
Color,Annie ,2014,5.2,85911262
Color,Anomalisa ,2015,7.3,3442820
Color,Anonymous ,2011,6.9,4463292
Color,Another Earth ,2011,7,1316074
Color,Another Happy Day ,2011,6,
Color,Another Year ,2010,7.3,3205244
Color,Antarctic Edge: 70° South ,2015,7,4914
Color,Antarctica: A Year on Ice ,2013,7.6,287761
Color,Antibirth ,2016,6.3,
Color,Antitrust ,2001,6.1,10965209
Color,Antiviral ,2012,5.7,
Color,Ant-Man ,2015,7.4,180191634
Color,Antwone Fisher ,2002,7.3,21078145
Color,Antz ,1998,6.6,90646554
Color,Any Given Sunday ,1999,6.8,75530832
Color,Anything Else ,2003,6.4,3203044
Color,Anywhere But Here ,1999,6.1,18653615
Color,Apocalypse Now ,1979,8.5,78800000
Color,Apocalypto ,2006,7.8,50859889
Color,Apollo 13 ,1995,7.6,172071312
Color,Apollo 18 ,2011,5.2,17683670
Color,Appaloosa ,2008,6.8,20207003
Color,April Fool's Day ,1986,6.2,12947763
Color,Aqua Teen Hunger Force Colon Movie Film for Theaters ,2007,6.9,5518918
Color,Aquamarine ,2006,5.3,18595716
Color,Arachnophobia ,1990,6.3,53133888
Color,Ararat ,2002,6.6,1554566
Color,Arbitrage ,2012,6.6,7918283
Color,Archaeology of a Woman ,2012,8.1,
Color,Are We There Yet? ,2005,4.6,82301521
Color,Area 51 ,2015,4.2,
Color,Argo ,2012,7.7,136019448
Color,Arlington Road ,1999,7.2,24362501
Color,Armageddon ,1998,6.6,201573391
Color,Armored ,2009,5.7,15988876
Color,Army of Darkness ,1992,7.6,11501093
Color,Arn: The Knight Templar ,2007,6.6,
Color,Arnolds Park ,2007,5.6,23616
Color,Around the World in 80 Days ,2004,5.8,48008318
Black and White,Aroused ,2013,5.3,
Color,Arthur and the Invisibles ,2006,6,15131330
Color,Arthur Christmas ,2011,7.1,46440491
Color,"As Above, So Below ",2014,6.1,21197315
Color,As Good as It Gets ,1997,7.7,147637474
Color,As It Is in Heaven ,2004,7.6,9910
Color,Ask Me Anything ,2014,6,
Black and White,Assassins ,1995,6.3,30306268
Color,Assault on Precinct 13 ,2005,6.3,19976073
Color,Asterix at the Olympic Games ,2008,5.1,
Color,Astro Boy ,2009,6.3,19548064
Black and White,At First Sight ,1999,5.9,22326247
Color,ATL ,2006,6,21160089
Color,Atlantis: The Lost Empire ,2001,6.8,84037039
Color,Atlas Shrugged II: The Strike ,2012,5.5,3333823
Color,Atlas Shrugged: Who Is John Galt? ,2014,4.4,830210
Color,Atonement ,2007,7.8,50921738
Color,Attack the Block ,2011,6.6,1024175
Color,August Rush ,2007,7.5,31655091
Color,August ,2011,6.1,
Color,August: Osage County ,2013,7.3,37738400
Color,Austin Powers in Goldmember ,2002,6.2,213079163
Color,Austin Powers: International Man of Mystery ,1997,7,53868030
Color,Austin Powers: The Spy Who Shagged Me ,1999,6.6,205399422
Color,Australia ,2008,6.6,49551662
Color,Auto Focus ,2002,6.6,2062066
Color,Automata ,2014,6.1,
Color,Autumn in New York ,2000,5.5,37752931
Color,Avatar ,2009,7.9,760505847
Color,Avengers: Age of Ultron ,2015,7.5,458991599
Color,AVP: Alien vs. Predator ,2004,5.6,80281096
Color,Awake ,2007,6.5,14373825
Color,Away We Go ,2009,7.1,9430988
Color,AWOL-72 ,2015,3.9,
Color,Ayurveda: Art of Being ,2001,7.6,16892
Color,Baahubali: The Beginning ,2015,8.4,6498000
Color,Babe ,1995,6.8,66600000
Color,Babe: Pig in the City ,1998,5.8,18318000
Color,Babel ,2006,7.5,34300771
Black and White,Baby Boy ,2001,6.4,28734552
Color,Baby Geniuses ,1999,2.5,27141959
Color,Baby Mama ,2008,6,60269340
Color,Babylon A.D. ,2008,5.6,22531698
Color,Baby's Day Out ,1994,5.9,16671505
Color,Bachelorette ,2012,5.3,418268
Color,Back to the Future Part II ,1989,7.8,118500000
Color,Back to the Future Part III ,1990,7.4,87666629
Color,Back to the Future ,1985,8.5,210609762
Color,Bad Boys II ,2003,6.6,138396624
Color,Bad Boys ,1995,6.8,65807024
Color,Bad Company ,2002,5.6,30157016
Color,Bad Grandpa ,2013,6.6,101978840
Color,Bad Lieutenant: Port of Call New Orleans ,2009,6.7,1697956
Color,Bad Moms ,2016,6.7,110922614
Color,Bad Santa ,2003,7.1,60057639
Color,Bad Teacher ,2011,5.7,100292856
Color,Bad Words ,2013,6.7,7764027
Color,Baggage Claim ,2013,5,21564616
Color,Baghead ,2008,6,140016
Color,Bait ,2012,5.2,
Color,Ballistic: Ecks vs. Sever ,2002,3.6,14294842
Color,Bambi ,1942,7.4,102797150
Color,Bamboozled ,2000,6.5,2185266
Color,Bananas ,1971,7.1,
Color,Bandidas ,2006,5.7,
Color,Bandits ,2001,6.6,41523271
Color,Bandslam ,2009,6.4,5205343
Color,Bang Bang Baby ,2014,5.4,
Color,Bang ,1995,6.4,
Color,Bangkok Dangerous ,2008,5.4,15279680
Color,Banshee Chapter ,2013,5.5,
Color,Barbarella ,1968,5.9,
Color,Barbecue ,2014,6.1,
Black and White,Barbershop 2: Back in Business ,2004,5.7,64955956
Color,Barbershop ,2002,6.3,75074950
Color,Barfi ,2013,7.1,
Color,Barney's Great Adventure ,1998,2.8,11144518
Color,Barney's Version ,2010,7.3,7501404
Color,Barnyard ,2006,5.6,72601713
Color,Barry Lyndon ,1975,8.1,
Color,Barry Munday ,2010,5.9,
Color,Basic Instinct 2 ,2006,4.2,5851188
Color,Basic ,2003,6.5,26536120
Color,Basquiat ,1996,6.9,2961991
Color,Bathing Beauty ,1944,6.5,
Color,Bathory: Countess of Blood ,2008,6,
Color,Batman & Robin ,1997,3.7,107285004
Color,Batman Begins ,2005,8.3,205343774
Color,Batman Forever ,1995,5.4,184031112
Color,Batman Returns ,1992,7,162831698
Color,Batman v Superman: Dawn of Justice ,2016,6.9,330249062
Color,Batman ,1989,7.6,251188924
Color,"Batman: The Dark Knight Returns, Part 2 ",2013,8.4,
Color,Batman: The Movie ,1966,6.5,
Color,Bats ,1999,3.6,10149779
Color,Battle for the Planet of the Apes ,1973,5.5,
Color,Battle Los Angeles ,2011,5.8,83552429
Color,Battle of the Year ,2013,5,8888355
Color,Battlefield Earth ,2000,2.4,21471685
Color,Battleship ,2012,5.9,65173160
Color,Be Cool ,2005,5.7,55808744
Color,Be Kind Rewind ,2008,6.4,11169531
Color,Beastly ,2011,5.6,27854896
Color,Beastmaster 2: Through the Portal of Time ,1991,3.8,869325
Color,Beasts of the Southern Wild ,2012,7.3,12784397
Color,Beautiful Creatures ,2013,6.2,19445217
Color,Beauty Shop ,2005,5.5,36310118
Color,Beavis and Butt-Head Do America ,1996,6.8,63071133
Color,Because I Said So ,2007,5.6,42640890
Color,Because of Winn-Dixie ,2005,6.4,32645546
Color,Becoming Jane ,2007,7.1,18663911
Color,Bedazzled ,2000,6,37879996
Color,Bedtime Stories ,2008,6.1,109993847
Color,Bee Movie ,2007,6.2,126597121
Color,Beer League ,2006,6,475000
Color,Beerfest ,2006,6.3,19179969
Color,Beetlejuice ,1988,7.5,73326666
Color,Before I Go to Sleep ,2014,6.3,2963012
Color,Before Midnight ,2013,7.9,8114507
Color,Before Sunrise ,1995,8.1,5400000
Color,Before Sunset ,2004,8,5792822
Color,Begin Again ,2013,7.4,16168741
Color,Beginners ,2010,7.2,5776314
Color,Behind Enemy Lines ,2001,6.4,59068786
Color,Being John Malkovich ,1999,7.8,22858926
Color,Being Julia ,2004,7.1,7739049
Color,Bella ,2006,7.4,8108247
Color,Beloved ,1998,5.9,22843047
Color,Below Zero ,2011,4.5,
Color,Bend It Like Beckham ,2002,6.7,32541719
Color,Bending Steel ,2013,7.9,
Color,Beneath Hill 60 ,2010,7.1,
Color,Beneath the Planet of the Apes ,1970,6.1,
Color,Benji ,1974,6.1,39552600
Color,Beowulf ,2007,6.3,82161969
Color,Bernie ,2011,6.8,9203192
Color,Best in Show ,2000,7.5,18621249
Color,Better Luck Tomorrow ,2002,7.2,3799339
Color,Beverly Hills Chihuahua ,2008,3.7,94497271
Color,Beverly Hills Cop II ,1987,6.4,153665036
Color,Beverly Hills Cop III ,1994,5.5,42610000
Color,Beverly Hills Cop ,1984,7.3,234760500
Color,Beyond Borders ,2003,6.5,4426297
Color,Beyond the Black Rainbow ,2010,6.1,56129
Color,Beyond the Lights ,2014,6.9,14612840
Color,Beyond the Mat ,1999,7.6,2047570
Black and White,Beyond the Sea ,2004,6.7,6144806
Color,Beyond the Valley of the Dolls ,1970,6.2,9000000
Color,B-Girl ,2009,4,
Color,Bicentennial Man ,1999,6.8,58220776
Color,Big Daddy ,1999,6.4,163479795
Color,Big Eyes ,2014,7,14479776
Color,Big Fat Liar ,2002,5.4,95622550
Color,Big Fish ,2003,8,66257002
Color,Big Hero 6 ,2014,7.9,222487711
Color,Big Miracle ,2012,6.5,20113965
Color,Big Momma's House 2 ,2006,4.6,70163652
Color,Big Momma's House ,2000,5.1,117559438
Color,"Big Mommas: Like Father, Like Son ",2011,4.4,37911876
Color,Big Trouble in Little China ,1986,7.3,11100000
Color,Big Trouble ,2002,6.5,7262288
Color,Big ,1988,7.3,114968774
Color,Bill & Ted's Bogus Journey ,1991,6.2,38037513
Color,Bill & Ted's Excellent Adventure ,1989,6.9,40485039
Color,Billy Elliot ,2000,7.7,21994911
Color,Birdman or (The Unexpected Virtue of Ignorance) ,2014,7.8,42335698
Color,Birth ,2004,6.1,5005883
Color,Birthday Girl ,2001,6.1,4919896
Color,Biutiful ,2010,7.5,5100937
Color,Bizarre ,2015,4.3,
Color,Black Book ,2006,7.8,4398392
Color,Black Christmas ,2006,4.5,16235293
Color,Black Hawk Down ,2001,7.7,108638745
Color,Black Knight ,2001,4.8,33422806
Color,Black Mass ,2015,7,62563543
Color,Black Nativity ,2013,4.4,7017178
Color,Black November ,2012,5.6,
Color,Black or White ,2014,6.6,21569041
Color,Black Rain ,1989,6.6,45645204
Color,Black Rock ,2012,4.7,
Black and White,Black Snake Moan ,2006,7,9396487
Color,Black Swan ,2010,8,106952327
Color,Black Water Transit ,2009,7.2,
Color,Blackhat ,2015,5.4,7097125
Color,Blackthorn ,2011,6.6,199652
Color,Blade II ,2002,6.7,81645152
Color,Blade Runner ,1982,8.2,27000000
Color,Blade ,1998,7.1,70001065
Color,Blade: Trinity ,2004,5.9,52397389
Color,Blades of Glory ,2007,6.3,118153533
Color,Blast from the Past ,1999,6.6,26494611
Color,Blazing Saddles ,1974,7.8,119500000
Color,Bled ,2009,3.1,
Color,Bleeding Hearts ,2015,4.2,
Color,Blended ,2014,6.5,46280507
Color,Bless the Child ,2000,5.1,29374178
Color,Blindness ,2008,6.6,3073392
Color,Blonde Ambition ,2007,3.9,5561
Color,Blood and Chocolate ,2007,5.5,3525161
Color,Blood and Wine ,1996,6.1,1075288
Color,Blood Diamond ,2006,8,57366262
Color,Blood Done Sign My Name ,2010,6.7,82739
Color,"Blood In, Blood Out ",1993,8,4496583
Color,Blood Ties ,2013,6.5,41229
Color,Blood Work ,2002,6.4,26199517
Color,BloodRayne ,2005,2.9,1550000
Color,Bloodsport ,1988,6.8,11806119
Color,Bloody Sunday ,2002,7.7,768045
Color,Blow Out ,1981,7.4,
Color,Blow ,2001,7.6,52937130
Color,Blue Car ,2002,6.7,464126
Color,Blue Crush ,2002,5.6,40118420
Color,Blue Jasmine ,2013,7.3,33404871
Color,Blue Like Jazz ,2012,6,594904
Color,Blue Ruin ,2013,7.1,258113
Color,Blue Streak ,1999,6.3,68208190
Color,Blue Valentine ,2010,7.4,9701559
Color,Boat Trip ,2002,4.9,8586376
Color,Bobby Jones: Stroke of Genius ,2004,6.7,2694071
Color,Bobby ,2006,7,11204499
Color,Body Double ,1984,6.8,
Color,Body of Lies ,2008,7.1,39380442
Color,Bodyguards and Assassins ,2009,6.9,
Color,Bogus ,1996,5.3,4357000
Color,Boiler Room ,2000,7,16938179
Color,Bolt ,2008,6.9,114053579
Color,Bon Cop Bad Cop ,2006,7,
Black and White,Bon voyage ,2003,6.9,2353728
Color,Boogeyman ,2005,4.1,46363118
Color,Boogie Nights ,1997,7.9,26384919
Color,Book of Shadows: Blair Witch 2 ,2000,4,26421314
Black and White,Boom Town ,1940,7.1,
Color,Boomerang ,1992,5.4,70100000
Color,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan ,2006,7.3,128505958
Color,Born of War ,2014,4.4,
Color,Born on the Fourth of July ,1989,7.2,70001698
Color,Born to Fly: Elizabeth Streb vs. Gravity ,2014,6.8,21199
Color,Bottle Rocket ,1996,7.1,1040879
Color,Bottle Shock ,2008,6.8,4040588
Color,Bound ,1996,7.4,3798532
Color,Bowfinger ,1999,6.4,66365290
Black and White,Bowling for Columbine ,2002,8,21244913
Color,Boyhood ,2014,8,25359200
Color,Boynton Beach Club ,2005,6.5,3123749
Color,Boys and Girls ,2000,5.3,20627372
Color,Boys Don't Cry ,1999,7.6,11533945
Color,Boyz n the Hood ,1991,7.8,57504069
Color,Bram Stoker's Dracula ,1992,7.5,82522790
Color,Bran Nue Dae ,2009,6.3,110029
