Title,Facenumber,Score,Cast_Likes,Gross
Eat Pray Love ,1,5.7,20440,80574010
Flirting with Disaster ,3,6.8,2240,14891000
Won't Back Down ,2,6.4,3260,5308553
The Help ,2,8.1,23227,169705587
Our Kind of Traitor ,2,6.4,540,3108216
Torque ,0,4,5039,21176322
London ,2,6.6,39518,12667
The Others ,0,7.6,956,96471845
War Horse ,1,7.2,46726,79883359
Predators ,0,6.4,4243,52000688
Knocked Up ,2,7,12874,148734225
Your Sister's Sister ,2,6.7,973,1573712
The Smurfs 2 ,3,5.4,914,71017784
"Alexander and the Terrible, Horrible, No Good, Very Bad Day ",6,6.2,47677,66950483
Yes Man ,1,6.8,29505,97680195
Mystic River ,0,8,1942,90135191
The Words ,1,7.1,51355,11434867
Courageous ,7,7,2300,34522221
The Insider ,1,7.9,18216,28965197
Urbania ,1,7,964,1027119
Harry Potter and the Sorcerer's Stone ,4,7.5,13191,317557891
Your Highness ,3,5.6,45202,21557240
The Shawshank Redemption ,0,9.3,13495,28341469
Little Women ,4,7.3,29370,50003300
Young Sherlock Holmes ,1,6.8,605,4250320
Phantasm II ,1,6.5,1395,7282851
Ocean's Thirteen ,3,6.9,43499,117144465
White Chicks ,4,5.4,6313,69148997
Interstellar ,1,8.6,31488,187991439
Young Guns ,5,6.8,1747,44726644
The Tale of Despereaux ,0,6.1,13403,50818750
The Work and the Glory ,1,6.9,1233,3347439
Burnt ,1,6.6,16926,13650738
Digimon: The Movie ,0,5.9,315,9628751
The Naked Gun 2½: The Smell of Fear ,6,6.8,3847,86930411
Rush Hour 2 ,2,6.6,664,226138454
You Don't Mess with the Zohan ,0,5.5,13446,100018837
Poltergeist ,0,7.4,7752,153200000
Thunderball ,1,7,1164,63600000
Scary Movie 3 ,7,5.5,3629,110000082
Young Frankenstein ,0,8,2703,86300000
Young Adult ,1,6.3,10575,16300302
A Hard Day's Night ,1,7.7,2538,515005
Home ,0,6.7,53649,532031025
The Sting ,0,8.3,2387,159600000
Volver ,1,7.6,448,12899702
El crimen del padre Amaro ,0,6.8,546,5709616
Water ,0,7.8,1394,3222857
Kiss the Bride ,3,5.7,2310,31937
You've Got Mail ,2,6.5,17768,115731542
The Spirit ,1,4.8,20881,19781879
Mulan ,0,7.5,4478,120618403
The Dukes of Hazzard ,5,5.1,2297,80270227
We Need to Talk About Kevin ,0,7.5,3547,1738692
Poultrygeist: Night of the Chicken Dead ,0,6.2,1411,23000
Boyhood ,0,8,673,25359200
The Robe ,1,6.8,1920,36000000
Thir13en Ghosts ,0,5.5,3023,41867960
Batman ,0,7.6,2725,251188924
"You, Me and Dupree ",1,5.6,847,75604320
Gossip ,5,5.9,12776,5108820
Masked and Anonymous ,0,5.5,15396,533344
Woman Thou Art Loosed ,0,6.9,3049,6879730
The Railway Man ,2,7.1,39463,4435083
You Will Meet a Tall Dark Stranger ,0,6.3,19310,3247816
Wish I Was Here ,4,6.7,18947,3588432
Please Give ,0,6.6,3692,4033268
Wolf ,1,6.2,1439,65012000
All About the Benjamins ,2,5.7,1421,25482931
The Wash ,2,4.6,955,10097096
Julie & Julia ,2,7,13321,94125426
X-Men Origins: Wolverine ,0,6.7,40054,179883016
Air Force One ,1,6.4,23603,172620724
You Only Live Twice ,0,6.9,2127,43100000
In the Cut ,0,5.3,1171,4717455
The Sweet Hereafter ,0,7.7,2820,4306697
"McFarland, USA ",0,7.4,952,44469602
Trouble with the Curve ,0,6.8,17871,35754555
Yentl ,1,6.6,914,30400000
Pineapple Express ,3,7,15590,87341380
Free State of Jones ,1,6.7,12786,20389967
"The Goods: Live Hard, Sell Hard ",5,5.8,3973,15102127
Summer Catch ,2,4.9,3344,19693891
The Thirteenth Floor ,0,7,2389,15500000
"Remember Me, My Love ",1,6.5,132,223878
You Got Served ,0,3.5,1792,40066497
Tarnation ,3,7.2,78,592014
The Princess and the Cobbler ,0,7.2,1088,669276
The Chronicles of Narnia: The Voyage of the Dawn Treader ,4,6.3,764,104383624
The Cure ,0,7.4,115,94596
You Can Count on Me ,0,7.7,4288,9180275
Gory Gory Hallelujah ,2,4.7,387,11798
You Again ,6,5.8,4813,25677801
Tomorrowland ,2,6.5,5046,93417865
The Little Prince ,1,7.8,30230,1339152
Signs ,0,6.7,1675,227965690
X-Men 2 ,4,7.5,20952,214948780
Yogi Bear ,0,4.6,4394,100169068
What's Eating Gilbert Grape ,1,7.8,69746,9170214
Star Trek: First Contact ,2,7.6,6315,92001027
The Sorcerer's Apprentice ,0,6.1,13388,63143812
Burlesque ,1,6.4,4315,39440655
Yes ,0,6.9,2721,396035
The Finest Hours ,0,6.8,3524,27550735
Snitch ,1,6.5,31600,85838192
Woo ,0,3.8,3352,8026971
Year One ,2,4.9,12258,43337279
Whiteout ,1,5.5,1947,10268846
In Too Deep ,1,6.1,4837,14003141
Y Tu Mamá También ,1,7.7,361,13622333
All About Steve ,3,4.8,16461,33860010
London Has Fallen ,3,5.9,20276,62401264
My Life in Ruins ,1,5.9,2016,8662318
Wyatt Earp ,0,6.6,5708,25052000
Of Gods and Men ,0,7.2,416,3950029
"Lovely, Still ",0,7.3,4987,124720
Slam ,0,7.2,295,982214
Robot & Frank ,3,7.1,1980,3325638
Miss Congeniality ,1,6.2,1574,106807667
The Replacement Killers ,2,6.1,3072,18967571
Warm Bodies ,0,6.9,337,66359959
Edmond ,1,6.3,5761,131617
The Out-of-Towners ,2,5.3,1335,28535768
xXx: State of the Union ,2,4.3,993,26082914
Shrek 2 ,1,7.2,1148,436471036
Superbad ,2,7.6,17584,121463226
Witchboard ,1,5.7,901,7369373
500 Days of Summer ,43,7.7,54075,32391374
Creative Control ,1,5.5,928,62480
Room ,0,8.3,2499,14677654
Inception ,0,8.8,81115,292568851
What Women Want ,1,6.4,5838,182805123
Selma ,0,7.5,3869,52066000
Last Vegas ,2,6.6,35694,63910583
X-Men: The Last Stand ,0,6.8,21714,234360014
Garfield ,0,5,13430,75367693
The Greatest ,2,6.7,2163,115862
Safe Haven ,0,6.7,1554,71346930
Witness ,1,7.4,22479,65500000
This Is the End ,6,6.7,38751,101470202
9½ Weeks ,0,5.9,711,6734844
Underworld: Evolution ,1,6.8,2998,62318875
Endless Love ,0,6.3,18760,23393765
Van Wilder: Party Liaison ,0,6.4,19341,21005329
A Night at the Roxbury ,2,6.2,9271,30324946
In & Out ,0,6.3,23504,63826569
X-Men: First Class ,3,7.8,50983,146405371
X-Men: Days of Future Past ,7,8,91434,233914986
Saving Mr. Banks ,2,7.5,19809,83299761
Marie Antoinette ,1,6.4,7243,15962471
World's Greatest Dad ,1,6.9,50542,221210
The Kingdom ,1,7.1,5187,47456450
X-Men: Apocalypse ,6,7.3,49684,154985087
Hairspray ,9,6.7,1673,118823091
Tristram Shandy: A Cock and Bull Story ,0,6.8,3690,1247453
A Man Apart ,0,6.1,16611,26183197
X-Men ,0,7.4,21397,157299717
Wristcutters: A Love Story ,2,7.4,4720,104077
Spun ,0,6.8,2110,410241
Palo Alto ,0,6.3,12234,750100
Pink Narcissus ,1,6.7,0,8231
The Queen ,0,7.3,486,56437947
Wall Street ,2,7.4,1607,43848100
Blade ,1,7.1,3174,70001065
Wreck-It Ralph ,1,7.8,4451,189412677
Wrath of the Titans ,0,5.8,16184,83640426
Mission: Impossible ,0,7.1,12760,180965237
Under Siege 2: Dark Territory ,1,5.4,2318,50024083
Standard Operating Procedure ,0,7.5,6,228830
Get Rich or Die Tryin' ,0,5,3969,30981850
Treasure Planet ,0,7.1,26940,38120554
Brave ,0,7.2,5005,237282182
Delgo ,1,4.4,2449,511920
World War Z ,0,7,32392,202351611
World Trade Center ,0,6,14421,70236496
The Three Musketeers ,8,5.8,27694,20315324
The Skulls ,0,5.6,26652,35007180
Wordplay ,0,7.4,382,3117666
Abraham Lincoln: Vampire Hunter ,0,5.9,8281,37516013
The Ninth Gate ,1,6.7,42344,18653746
Woodstock ,0,8.1,778,13300000
Side Effects ,0,7.1,36938,64308820
The Pirate ,0,7.1,282,2956000
Wonderland ,0,6.6,1315,1056102
Wonder Boys ,5,7.4,22974,19389454
Time Changer ,1,5.6,1185,15278
Mystery Men ,4,6,3986,29655590
The Guru ,3,5.4,1559,3034181
Winter Passing ,4,6.4,20009,101228
Miracle at St. Anna ,0,6,26982,7916887
The Salton Sea ,0,7.2,4094,676698
The 13th Warrior ,1,6.6,1815,32694788
Without Limits ,0,7.2,4351,777423
Star Wars: Episode VI - Return of the Jedi ,0,8.4,13649,309125409
The Order ,1,5.1,14165,7659747
Without a Paddle ,3,5.9,1266,58156435
17 Again ,1,6.4,7009,64149837
Just Looking ,1,6.7,1030,39852
Wasabi ,1,6.6,303,81525
Rudderless ,1,7.5,1986,37440
Winter's Tale ,0,6.2,22447,22451
Street Fighter ,1,3.8,5443,33423521
Winter's Bone ,2,7.2,34446,6531491
Almost Famous ,1,7.9,36897,32522352
American Wedding ,3,6.3,5713,104354205
The Kids Are All Right ,1,7.1,18645,20803237
Tadpole ,2,6.3,1144,2882062
Oldboy ,0,8.4,852,2181290
Isn't She Great ,0,5.3,2928,2954405
The Painted Veil ,0,7.5,2608,8047690
Who Killed the Electric Car? ,0,7.7,1447,1677838
School of Rock ,1,7.1,4403,81257845
Insomnia ,0,7.2,15658,67263182
Winter in Wartime ,1,7.1,219,542860
Firestarter ,1,6,3444,15100000
Home Alone ,5,7.5,7521,285761243
The Sessions ,3,7.2,1899,5997134
The Crocodile Hunter: Collision Course ,0,5.4,1483,28399192
My Summer of Love ,0,6.8,763,992238
Winnie the Pooh ,0,7.3,1002,26687172
Raising Victor Vargas ,1,7.2,663,2073984
Another Year ,0,7.3,2265,3205244
Because of Winn-Dixie ,5,6.4,3462,32645546
Children of Heaven ,0,8.5,100,925402
The Scarlet Letter ,1,5.1,15820,10400000
The Scorpion King ,4,5.5,14611,90341670
Wing Commander ,3,4.1,2497,11576087
Windtalkers ,0,6,15046,40911830
The Messenger ,0,7.2,14462,66637
28 Days ,1,6,23864,37035515
The Running Man ,1,6.6,2373,38122105
Psycho ,2,8.5,1885,32000000
Chernobyl Diaries ,0,5,2665,18112929
Predator 2 ,0,6.2,4722,30669413
Win a Date with Tad Hamilton! ,1,5.6,4681,16964743
Collateral Damage ,1,5.5,1460,40048332
Radio Days ,0,7.6,1653,14792779
The Thomas Crown Affair ,0,6.8,4660,69304264
Wimbledon ,1,6.3,9330,16831505
Unfaithful ,0,6.7,2583,52752475
Willard ,0,6.2,1267,6852144
Blood and Chocolate ,0,5.5,1675,3525161
Weekend ,0,7.7,654,469947
Unleashed ,1,7,22383,24520892
Son of the Mask ,0,2.2,1195,17010646
15 Minutes ,1,6.1,33585,24375436
Wild Wild West ,2,4.8,15870,113745408
Wild Things ,3,6.5,14275,29753944
Seventh Son ,4,5.5,17098,17176900
The Fifth Element ,2,7.7,39319,63540020
The Wizard of Oz ,3,8.1,2509,22202612
Crazy/Beautiful ,2,6.5,6214,16929123
Happy Christmas ,3,5.6,11642,30084
Polisse ,1,7.3,1129,171320
Wild Target ,4,6.9,11770,117190
Survival of the Dead ,0,5,1951,101055
The Women ,4,4.9,3485,26896744
That's My Boy ,2,5.6,16484,36931089
We Bought a Zoo ,3,7.1,36873,75621915
Choke ,0,6.5,3608,2926565
Mandela: Long Walk to Freedom ,1,7.1,301,8324748
There Be Dragons ,0,5.9,3497,1068392
Wild Hogs ,3,5.9,1412,168213584
Across the Universe ,0,7.4,10810,48687346
Unaccompanied Minors ,1,5.1,4431,16647384
Stripes ,1,6.9,27378,85300000
Brother ,0,7.2,2126,447750
Earth to Echo ,0,5.8,1921,38916903
The Eclipse ,0,6.2,975,128937
Jack Ryan: Shadow Recruit ,3,6.2,1411,50549107
The Invention of Lying ,3,6.4,7252,18439082
Wild Grass ,0,6.3,799,403649
Shutter Island ,0,8.1,29585,127968405
The House of Mirth ,0,7.1,2735,3041803
The Manchurian Candidate ,1,6.6,20056,65948711
Wild ,1,7.1,4896,37877959
Operation Chromite ,1,6.8,14133,31662
The Yards ,2,6.4,11433,882710
Star Trek V: The Final Frontier ,1,5.4,14710,55210049
"For a Good Time, Call... ",0,6,3770,1243961
The Final Destination ,0,5.2,303717,66466372
Wicker Park ,0,7,1358,25662242
Flawless ,1,6.4,46022,4485485
Letters from Iwo Jima ,0,7.9,751,13753931
The Pink Panther ,0,5.6,1267,82226474
Why Did I Get Married? ,8,5.6,6510,55184721
"Cinco de Mayo, La Batalla ",1,6.2,221,169379
The Santa Clause 2 ,0,5.5,5265,139225854
Alex Cross ,0,5.1,2471,25863915
The Bourne Legacy ,0,6.7,12175,113165635
One to Another ,5,5.8,1082,18435
Trance ,0,7,10112,4638374
Soul Surfer ,1,7.1,5024,43853424
Pontypool ,0,6.7,721,3478
Get on Up ,0,6.9,2060,30513940
Men in Black II ,2,6.1,14823,190418803
White Oleander ,0,7.2,2572,16346122
The Brothers Grimm ,2,5.9,27114,37899638
Why Did I Get Married Too? ,8,4.4,6657,60072596
Light Sleeper ,0,6.8,1201,1100000
Shallow Hal ,2,5.9,2842,70836296
Kill Bill: Vol. 1 ,0,8.1,3983,70098138
Who's Your Caddy? ,0,2,3128,5694308
The Slaughter Rule ,2,6.1,35294,13134
Tora! Tora! Tora! ,0,7.5,1548,14500000
White Squall ,4,6.6,16237,10300000
The Marine ,1,4.7,1045,18843314
White Noise ,0,5.5,2013,55865715
Spanglish ,2,6.5,12522,42044321
Frida ,0,7.4,7072,25776062
White House Down ,2,6.4,18204,73103784
Surrogates ,5,6.3,18132,38542418
The Hills Have Eyes ,0,6.4,4500,41777564
The Tailor of Panama ,0,6.1,14995,13491653
Syriana ,0,7,29494,101630576
Thirteen Conversations About One Thing ,2,7.1,12250,3287435
Nomad: The Warrior ,0,6,2115,77231
Rambo: First Blood Part II ,0,6.4,15662,150415432
The Possession ,0,5.9,4696,98244638
White Fang ,1,6.7,552,34793160
Whipped ,1,4.4,858,4142507
U2 3D ,0,8.4,646,10353690
Do You Believe? ,5,5.9,6752,12985267
Little Nicky ,0,5.3,25190,39442871
Whiplash ,0,8.5,26495,13092000
The Trials of Darryl Hunt ,0,7.7,2,1111
Extreme Ops ,0,4.5,4123,4835968
Tombstone ,0,7.8,4453,56505065
Clerks II ,3,7.4,2990,24138847
Limbo ,0,7.1,823,1997807
The Wraith ,2,5.9,2319,3500000
Stomp the Yard ,0,5.2,3544,61356221
The Man ,2,5.5,1019,8326035
Whip It ,1,6.9,2633,13034417
The Ant Bully ,1,5.9,33822,28133159
Paranormal Activity ,0,6.3,330,107917283
Stone ,1,5.4,37766,1796024
Police Academy ,0,6.7,3113,81200000
The Forest ,1,4.8,578,26583369
The Lost World: Jurassic Park ,0,6.5,1635,229074524
While We're Young ,2,6.3,6322,7574066
Scary Movie 5 ,8,3.5,34319,32014289
Under the Skin ,0,6.3,19086,2605039
The Love Guru ,6,3.8,6658,32178777
Valiant ,0,5.6,1908,19447478
Swing Vote ,1,6.1,6212,16284360
The Damned United ,2,7.6,1163,449558
Paddington ,0,7.2,3697,76137505
Where the Wild Things Are ,0,6.8,1738,77222184
The Beaver ,0,6.7,34705,958319
Crazy Heart ,0,7.3,13172,39462438
Jackass Number Two ,0,7.1,1853,72755517
Outside Providence ,3,6.4,2018,7292175
Cloudy with a Chance of Meatballs ,1,7,1227,124870275
Jane Got a Gun ,0,5.8,21414,1512815
Where the Truth Lies ,2,6.5,16090,871527
Good Boy! ,1,5.1,2164,37566230
Thirteen Days ,1,7.3,1825,34566746
Striptease ,1,4.3,3016,32800000
The Exploding Girl ,0,6.3,1054,24705
Where the Heart Is ,2,6.8,22383,33771174
The Pirates Who Don't Do Anything: A VeggieTales Movie ,0,5.7,568,12701880
When the Game Stands Tall ,0,6.7,525,30127963
The Clan of the Cave Bear ,0,5.3,1351,1953732
The Visual Bible: The Gospel of John ,1,7.7,1281,4068087
Changeling ,0,7.8,12840,35707327
When the Cat's Away ,7,6.9,102,1652472
The Lives of Others ,3,8.5,927,11284657
Punch-Drunk Love ,0,7.3,11994,17791031
Domestic Disturbance ,1,5.5,13390,45207112
When Harry Met Sally... ,0,7.6,485,92823600
Alone in the Dark ,0,2.3,838,5132655
Gremlins 2: The New Batch ,0,6.3,19610,41482207
When Did You Last See Your Father? ,2,6.9,15848,1071240
The Station Agent ,0,7.7,24419,5739376
Ghost Town ,3,6.7,500,13214030
When a Stranger Calls ,0,5,2452,47860214
Whatever Works ,1,7.2,2717,5306447
Glitter ,1,2.1,1854,4273372
Spider ,0,6.8,1381,1641788
Biutiful ,0,7.5,50,5100937
The Number 23 ,1,6.4,10938,35063732
Whatever It Takes ,4,5.5,13524,8735529
Stay Alive ,0,5.1,3590,23078294
"First Love, Last Rites ",0,5.5,751,40542
My Favorite Martian ,2,4.9,2151,36830057
The Impossible ,0,7.6,7099,18996755
An Inconvenient Truth ,0,7.5,929,23808111
Flags of Our Fathers ,0,7.1,24468,33574332
What's Your Number? ,1,6,15713,13987482
Two Brothers ,0,7.1,55,18947630
The Last Exorcism Part II ,0,4,46868,15152879
Flubber ,1,5.2,50005,92969824
Regression ,1,5.7,10982,54734
3 Ninjas Kick Back ,0,4.3,1151,11784000
Black Hawk Down ,0,7.7,4270,108638745
What's the Worst That Could Happen? ,0,5.5,3664,32095318
Changing Lanes ,0,6.5,758,66790248
Keeping the Faith ,3,6.4,5404,37036404
What's Love Got to Do with It ,0,7.2,114,39100956
The Simpsons Movie ,0,7.4,3086,183132370
Air Bud ,0,5.1,4277,24629916
Angels & Demons ,2,6.7,16948,133375846
What to Expect When You're Expecting ,12,5.7,13396,41102171
What the #$*! Do We (K)now!? ,0,5.4,2649,10941801
Three to Tango ,2,6.1,4843,10544143
Darling Companion ,1,5.1,3878,793352
Reno 911!: Miami ,2,5.9,2737,20339754
What Planet Are You From? ,0,5.6,3954,6291602
Salt ,1,6.4,12406,118311368
"Mystery, Alaska ",0,6.7,2171,8888143
What Lies Beneath ,0,6.6,12890,155370362
Team America: World Police ,5,7.2,2609,32774834
The Mighty Ducks ,8,6.4,3362,50752337
What Just Happened ,1,5.7,71973,1089365
Tootsie ,1,7.4,14701,177200000
Over Her Dead Body ,0,5.2,3651,7563670
What Happens in Vegas ,2,6.1,1026,80276912
Bullets Over Broadway ,4,7.5,4302,13383737
The Haunted Mansion ,0,4.9,2622,75817994
What Dreams May Come ,1,7,49631,55350897
Legend ,2,7,27659,1865774
What a Girl Wants ,1,5.8,16400,35990505
Pandora's Box ,1,8,455,9950
The Exorcism of Emily Rose ,0,6.7,2759,75072454
Whale Rider ,1,7.6,497,20772796
Bulletproof Monk ,3,5.5,2422,23020488
The Innkeepers ,0,5.5,1252,77501
Town & Country ,0,4.4,3133,6712451
West Side Story ,0,7.6,1802,43650000
Exit Wounds ,0,5.5,5942,51758599
Travelers and Magicians ,0,7.5,0,505295
The Hunted ,1,6,2248,34238611
Collateral ,0,7.6,13581,100003492
Takers ,5,6.2,31529,57744720
Wendy and Lucy ,1,7.1,460,856942
Charlotte's Web ,0,6.4,23907,82506325
Welcome to the Rileys ,3,7,18236,152857
Shall We Dance ,2,6.1,2325,57887882
Welcome to the Dollhouse ,1,7.5,1502,4771000
Saw III ,0,6.2,3189,80150343
Top Five ,10,6.5,5592,25277561
The X Files: I Want to Believe ,0,5.9,2351,20981633
City of Life and Death ,0,7.7,91,119922
Welcome to Mooseport ,2,5.2,2466,14469428
Water & Power ,0,6.3,2241,79043
V for Vendetta ,1,8.2,22417,70496802
The Expendables ,9,6.5,46355,102981571
Welcome to Collinwood ,0,6.4,1373,333976
Terminator Genisys ,2,6.6,38873,89732035
The Producers ,3,6.4,24351,19377727
The Boy in the Striped Pajamas ,0,7.8,156,9030581
The Doors ,1,7.2,3044,35183792
The Gallows ,0,4.2,276,22757819
The Godfather ,1,9.2,28122,134821952
Unstoppable ,1,6.8,25780,81557479
Pinocchio ,0,7.5,1178,84300000
"Welcome Home, Roscoe Jenkins ",3,5.3,3565,42168445
Duel in the Sun ,0,6.9,2037,20400000
The Oogieloves in the Big Balloon Adventure ,0,6.7,1978,1064277
Oliver Twist ,0,6.9,450,1987287
The Diary of a Teenage Girl ,3,6.9,11184,1477002
Stepmom ,2,6.7,9988,91030827
Riddick ,0,6.4,17551,41997790
Walking with Dinosaurs 3D ,0,5.2,1971,36073232
The Basket ,2,6.5,3475,609042
We're the Millers ,4,7,3425,150368971
Shaolin Soccer ,2,7.3,700,488872
Deliver Us from Evil ,0,6.2,5697,30523568
The Importance of Being Earnest ,5,6.9,16502,8378141
The Last Godfather ,5,3.6,2895,163591
Transcendence ,1,6.3,54031,23014504
The Edge ,2,6.9,14831,27779888
City of Ghosts ,0,6,245,325491
Enemy at the Gates ,1,7.6,5103,51396781
We're No Angels ,0,6,24887,10555348
Kung Fu Killer ,2,6.5,285,129115
Schindler's List ,0,8.9,15233,96067179
Can't Hardly Wait ,4,6.5,4259,25339117
The Nutcracker in 3D ,0,4.4,2728,190562
The Brothers McMullen ,0,6.6,388,10246600
The Brothers Bloom ,4,6.9,3014,3519627
The Return ,0,8,48,502028
Skyline ,0,4.4,3679,21371425
The Whole Nine Yards ,4,6.7,17582,57262492
The Addams Family ,0,6.8,3696,113502246
Kit Kittredge: An American Girl ,1,6.7,3317,17655201
We Were Soldiers ,0,7.1,6181,78120196
Trucker ,3,6.7,89263,52166
Transformers: Age of Extinction ,2,5.7,3988,245428137
The Last Samurai ,1,7.7,11945,111110575
We Own the Night ,4,6.9,3681,28563179
The Other Boleyn Girl ,3,6.7,77823,26814957
All Is Lost ,0,6.9,0,6262942
We Are Your Friends ,0,6.1,3013,3590010
True Romance ,3,8,23602,12281500
Top Gun ,2,6.9,13069,176781728
It's Kind of a Funny Story ,3,7.2,2786,6350058
Jack Reacher ,2,7,32770,160067286
The Mechanic ,0,6.6,27834,29113588
We Are Marshall ,0,7.1,12088,43532294
Diamonds Are Forever ,2,6.7,1105,43800000
Wayne's World ,2,7,4263,121697350
Waterworld ,0,6.1,1004,88246220
Water for Elephants ,1,6.9,36062,58700247
The Gambler ,1,6,7568,67262442
Watchmen ,1,7.7,2530,107503316
Warriors of Virtue ,0,4.6,1993,6448817
This Means War ,3,6.3,29808,54758461
The Purge ,0,5.7,3708,64423650
Bringing Down the House ,2,5.5,2505,132541238
Turbulence ,0,4.7,3952,11466088
Igby Goes Down ,1,7,2478,4681503
The Transporter Refueled ,0,5.1,1411,16027866
Warrior ,1,8.2,29692,13651662
Extraordinary Measures ,2,6.5,17560,11854694
Warlock: The Armageddon ,0,5.3,1806,3902679
The Squid and the Whale ,0,7.4,479,7362100
Coal Miner's Daughter ,0,7.5,2667,79900000
There Will Be Blood ,0,8.1,533,40218903
Eddie: The Sleepwalking Cannibal ,0,5.7,843,1521
Groove ,0,6.5,407,1114943
Warlock ,0,6.2,1990,9094451
Sorority Boys ,3,5.4,2393,10198766
Bad Santa ,2,7.1,3151,60057639
The Vow ,0,6.8,18322,125014030
Sherlock Holmes ,3,7.6,23996,209019489
The Great Gatsby ,4,7.3,59539,289625592
The Incredibly True Adventure of Two Girls in Love ,0,6.5,656,1977544
The Men Who Stare at Goats ,0,6.2,32474,32416109
Sanctum ,0,5.9,3892,23070045
WarGames ,0,7.1,4537,79568000
Once Upon a Time in America ,8,8.4,24719,5300000
N-Secure ,5,3.5,3137,2592808
The Hunger Games: Mockingjay - Part 1 ,1,6.7,81385,337103873
Get Shorty ,4,6.9,3439,72077000
Warcraft ,0,7.3,5505,46978995
Caramel ,0,7.2,231,1060591
L.I.E. ,1,7.2,209,1141829
Thirteen ,2,6.8,2186,4599680
The Apostle ,1,7.2,428,20733485
The Juror ,1,5.6,26907,44834712
"War, Inc. ",3,5.7,988,578527
Skin Trade ,5,5.7,2802,162
