Budget,Cast_Likes,Gross,Link,Score,Title,Type,Users,Year,movie_likes
10000000,2013,55865715,http://www.imdb.com/title/tt0375210/?ref_=fn_tt_tt_1,5.5,White Noise ,Color,41763,2005,0
150000000,18204,73103784,http://www.imdb.com/title/tt2334879/?ref_=fn_tt_tt_1,6.4,White House Down ,Color,164238,2013,33000
14000000,552,34793160,http://www.imdb.com/title/tt0103247/?ref_=fn_tt_tt_1,6.7,White Fang ,Color,15730,1991,0
37000000,6313,69148997,http://www.imdb.com/title/tt0381707/?ref_=fn_tt_tt_1,5.4,White Chicks ,Color,98794,2004,0
3000000,858,4142507,http://www.imdb.com/title/tt0174336/?ref_=fn_tt_tt_1,4.4,Whipped ,Color,3665,2000,131
3300000,26495,13092000,http://www.imdb.com/title/tt2582802/?ref_=fn_tt_tt_1,8.5,Whiplash ,Color,399138,2014,129000
15000000,2633,13034417,http://www.imdb.com/title/tt1172233/?ref_=fn_tt_tt_1,6.9,Whip It ,Color,55665,2009,10000
10000000,6322,7574066,http://www.imdb.com/title/tt1791682/?ref_=fn_tt_tt_1,6.3,While We're Young ,Color,30325,2014,0
100000000,1738,77222184,http://www.imdb.com/title/tt0386117/?ref_=fn_tt_tt_1,6.8,Where the Wild Things Are ,Color,87677,2009,11000
25000000,16090,871527,http://www.imdb.com/title/tt0373450/?ref_=fn_tt_tt_1,6.5,Where the Truth Lies ,Color,14982,2005,507
15000000,22383,33771174,http://www.imdb.com/title/tt0198021/?ref_=fn_tt_tt_1,6.8,Where the Heart Is ,Color,27044,2000,0
15000000,525,30127963,http://www.imdb.com/title/tt2247476/?ref_=fn_tt_tt_1,6.7,When the Game Stands Tall ,Color,12596,2014,0
300000,102,1652472,http://www.imdb.com/title/tt0115856/?ref_=fn_tt_tt_1,6.9,When the Cat's Away ,Color,2843,1996,166
16000000,485,92823600,http://www.imdb.com/title/tt0098635/?ref_=fn_tt_tt_1,7.6,When Harry Met Sally... ,Color,149108,1989,0
8000000,15848,1071240,http://www.imdb.com/title/tt0829098/?ref_=fn_tt_tt_1,6.9,When Did You Last See Your Father? ,Color,3571,2007,429
15000000,2452,47860214,http://www.imdb.com/title/tt0455857/?ref_=fn_tt_tt_1,5,When a Stranger Calls ,Color,34711,2006,0
15000000,2717,5306447,http://www.imdb.com/title/tt1178663/?ref_=fn_tt_tt_1,7.2,Whatever Works ,Color,58967,2009,10000
15000000,13524,8735529,http://www.imdb.com/title/tt0202402/?ref_=fn_tt_tt_1,5.5,Whatever It Takes ,Color,8055,2000,816
20000000,15713,13987482,http://www.imdb.com/title/tt0770703/?ref_=fn_tt_tt_1,6,What's Your Number? ,Color,58957,2011,0
45000000,3664,32095318,http://www.imdb.com/title/tt0161083/?ref_=fn_tt_tt_1,5.5,What's the Worst That Could Happen? ,Color,12466,2001,304
11000000,69746,9170214,http://www.imdb.com/title/tt0108550/?ref_=fn_tt_tt_1,7.8,What's Eating Gilbert Grape ,Color,171882,1993,14000
70000000,5838,182805123,http://www.imdb.com/title/tt0207201/?ref_=fn_tt_tt_1,6.4,What Women Want ,Color,158864,2000,0
40000000,13396,41102171,http://www.imdb.com/title/tt1586265/?ref_=fn_tt_tt_1,5.7,What to Expect When You're Expecting ,Color,57266,2012,14000
50000000,3954,6291602,http://www.imdb.com/title/tt0181151/?ref_=fn_tt_tt_1,5.6,What Planet Are You From? ,Color,8070,2000,255
100000000,12890,155370362,http://www.imdb.com/title/tt0161081/?ref_=fn_tt_tt_1,6.6,What Lies Beneath ,Color,98403,2000,0
25000000,71973,1089365,http://www.imdb.com/title/tt0486674/?ref_=fn_tt_tt_1,5.7,What Just Happened ,Color,23767,2008,845
35000000,1026,80276912,http://www.imdb.com/title/tt1033643/?ref_=fn_tt_tt_1,6.1,What Happens in Vegas ,Color,140740,2008,0
85000000,49631,55350897,http://www.imdb.com/title/tt0120889/?ref_=fn_tt_tt_1,7,What Dreams May Come ,Color,83560,1998,32000
20000000,16400,35990505,http://www.imdb.com/title/tt0286788/?ref_=fn_tt_tt_1,5.8,What a Girl Wants ,Color,48095,2003,0
6000000,497,20772796,http://www.imdb.com/title/tt0298228/?ref_=fn_tt_tt_1,7.6,Whale Rider ,Color,34232,2002,0
6000000,1802,43650000,http://www.imdb.com/title/tt0055614/?ref_=fn_tt_tt_1,7.6,West Side Story ,Color,71919,1961,0
200000,460,856942,http://www.imdb.com/title/tt1152850/?ref_=fn_tt_tt_1,7.1,Wendy and Lucy ,Color,12241,2008,0
800000,1502,4771000,http://www.imdb.com/title/tt0114906/?ref_=fn_tt_tt_1,7.5,Welcome to the Dollhouse ,Color,26513,1995,0
26000000,2466,14469428,http://www.imdb.com/title/tt0361925/?ref_=fn_tt_tt_1,5.2,Welcome to Mooseport ,Color,10667,2004,260
12000000,1373,333976,http://www.imdb.com/title/tt0271259/?ref_=fn_tt_tt_1,6.4,Welcome to Collinwood ,Color,12559,2002,423
35000000,3565,42168445,http://www.imdb.com/title/tt0494652/?ref_=fn_tt_tt_1,5.3,"Welcome Home, Roscoe Jenkins ",Color,10791,2008,464
120000,654,469947,http://www.imdb.com/title/tt1714210/?ref_=fn_tt_tt_1,7.7,Weekend ,Color,19846,2011,0
37000000,3425,150368971,http://www.imdb.com/title/tt1723121/?ref_=fn_tt_tt_1,7,We're the Millers ,Color,316671,2013,35000
20000000,24887,10555348,http://www.imdb.com/title/tt0098625/?ref_=fn_tt_tt_1,6,We're No Angels ,Color,17349,1989,855
75000000,6181,78120196,http://www.imdb.com/title/tt0277434/?ref_=fn_tt_tt_1,7.1,We Were Soldiers ,Color,103241,2002,5000
21000000,3681,28563179,http://www.imdb.com/title/tt0498399/?ref_=fn_tt_tt_1,6.9,We Own the Night ,Color,72693,2007,0
7000000,3547,1738692,http://www.imdb.com/title/tt1242460/?ref_=fn_tt_tt_1,7.5,We Need to Talk About Kevin ,Color,95529,2011,38000
2000000,3013,3590010,http://www.imdb.com/title/tt3787590/?ref_=fn_tt_tt_1,6.1,We Are Your Friends ,Color,20885,2015,0
65000000,12088,43532294,http://www.imdb.com/title/tt0758794/?ref_=fn_tt_tt_1,7.1,We Are Marshall ,Color,46951,2006,0
20000000,4263,121697350,http://www.imdb.com/title/tt0105793/?ref_=fn_tt_tt_1,7,Wayne's World ,Color,114610,1992,0
175000000,1004,88246220,http://www.imdb.com/title/tt0114898/?ref_=fn_tt_tt_1,6.1,Waterworld ,Color,144337,1995,0
38000000,36062,58700247,http://www.imdb.com/title/tt1067583/?ref_=fn_tt_tt_1,6.9,Water for Elephants ,Color,95367,2011,33000
130000000,2530,107503316,http://www.imdb.com/title/tt0409459/?ref_=fn_tt_tt_1,7.7,Watchmen ,Color,392474,2009,18000
15300000,303,81525,http://www.imdb.com/title/tt0281364/?ref_=fn_tt_tt_1,6.6,Wasabi ,Color,29392,2001,0
35000000,1993,6448817,http://www.imdb.com/title/tt0120479/?ref_=fn_tt_tt_1,4.6,Warriors of Virtue ,Color,2189,1997,0
25000000,29692,13651662,http://www.imdb.com/title/tt1291584/?ref_=fn_tt_tt_1,8.2,Warrior ,Color,332276,2011,77000
35000000,337,66359959,http://www.imdb.com/title/tt1588173/?ref_=fn_tt_tt_1,6.9,Warm Bodies ,Color,184641,2013,81000
3000000,1806,3902679,http://www.imdb.com/title/tt0108517/?ref_=fn_tt_tt_1,5.3,Warlock: The Armageddon ,Color,3943,1993,217
7000000,1990,9094451,http://www.imdb.com/title/tt0098622/?ref_=fn_tt_tt_1,6.2,Warlock ,Color,11668,1989,0
12000000,4537,79568000,http://www.imdb.com/title/tt0086567/?ref_=fn_tt_tt_1,7.1,WarGames ,Color,71842,1983,0
160000000,5505,46978995,http://www.imdb.com/title/tt0803096/?ref_=fn_tt_tt_1,7.3,Warcraft ,Color,111609,2016,89000
10000000,988,578527,http://www.imdb.com/title/tt0884224/?ref_=fn_tt_tt_1,5.7,"War, Inc. ",Color,20008,2008,883
132000000,12758,234277056,http://www.imdb.com/title/tt0407304/?ref_=fn_tt_tt_1,6.5,War of the Worlds ,Color,334345,2005,0
66000000,46726,79883359,http://www.imdb.com/title/tt1568911/?ref_=fn_tt_tt_1,7.2,War Horse ,Black and White,116159,2011,28000
25000000,33565,22466994,http://www.imdb.com/title/tt0499556/?ref_=fn_tt_tt_1,6.3,War ,Color,72673,2007,0
75000000,25763,134568845,http://www.imdb.com/title/tt0493464/?ref_=fn_tt_tt_1,6.7,Wanted ,Color,299852,2008,0
1500000,56,2283276,http://www.imdb.com/title/tt1185616/?ref_=fn_tt_tt_1,8,Waltz with Bashir ,Color,46107,2008,0
180000000,2975,223806889,http://www.imdb.com/title/tt0910970/?ref_=fn_tt_tt_1,8.4,WALL·E ,Color,718837,2008,16000
70000000,1579,52474616,http://www.imdb.com/title/tt1027718/?ref_=fn_tt_tt_1,6.3,Wall Street: Money Never Sleeps ,Color,84118,2010,13000
15000000,1607,43848100,http://www.imdb.com/title/tt0094291/?ref_=fn_tt_tt_1,7.4,Wall Street ,Color,119150,1987,0
80000000,1971,36073232,http://www.imdb.com/title/tt1762399/?ref_=fn_tt_tt_1,5.2,Walking with Dinosaurs 3D ,Color,8913,2013,0
56000000,14146,45860039,http://www.imdb.com/title/tt0351977/?ref_=fn_tt_tt_1,6.2,Walking Tall ,Color,53118,2004,0
1000000,2400,1277257,http://www.imdb.com/title/tt0118113/?ref_=fn_tt_tt_1,6.8,Walking and Talking ,Color,2629,1996,227
28000000,1383,119518352,http://www.imdb.com/title/tt0358273/?ref_=fn_tt_tt_1,7.9,Walk the Line ,Color,188637,2005,11000
35000000,1082,18317151,http://www.imdb.com/title/tt0841046/?ref_=fn_tt_tt_1,6.7,Walk Hard: The Dewey Cox Story ,Color,55630,2007,0
3000000,1965,24788807,http://www.imdb.com/title/tt0166396/?ref_=fn_tt_tt_1,7.4,Waking Ned Devine ,Color,21245,1998,0
2000000,1981,19067631,http://www.imdb.com/title/tt0473308/?ref_=fn_tt_tt_1,7.1,Waitress ,Color,37714,2007,0
3000000,19957,16101109,http://www.imdb.com/title/tt0348333/?ref_=fn_tt_tt_1,6.8,Waiting... ,Color,76467,2005,0
4000000,3559,2892582,http://www.imdb.com/title/tt0118111/?ref_=fn_tt_tt_1,7.6,Waiting for Guffman ,Color,22697,1996,0
7000000,2544,233103,http://www.imdb.com/title/tt0419256/?ref_=fn_tt_tt_1,6.9,Wah-Wah ,Color,2670,2005,311
15000000,29252,43022524,http://www.imdb.com/title/tt0120885/?ref_=fn_tt_tt_1,7.1,Wag the Dog ,Color,67604,1997,12000
25100000,4264,25517500,http://www.imdb.com/title/tt1175491/?ref_=fn_tt_tt_1,6.4,W. ,Color,40941,2008,0
90000000,5062,47474112,http://www.imdb.com/title/tt0120461/?ref_=fn_tt_tt_1,5.4,Volcano ,Color,58227,1997,2000
30000000,20772,24048000,http://www.imdb.com/title/tt0114857/?ref_=fn_tt_tt_1,5.5,Virtuosity ,Color,23579,1995,0
120000000,38628,17320557,http://www.imdb.com/title/tt1976009/?ref_=fn_tt_tt_1,6,Victor Frankenstein ,Color,85857,2015,33000
15500000,19894,23213577,http://www.imdb.com/title/tt0497465/?ref_=fn_tt_tt_1,7.2,Vicky Cristina Barcelona ,Color,198111,2008,14000
10000000,6046,9801782,http://www.imdb.com/title/tt0124198/?ref_=fn_tt_tt_1,6.3,Very Bad Things ,Color,39331,1998,0
75000000,3424,68473360,http://www.imdb.com/title/tt0190865/?ref_=fn_tt_tt_1,5.9,Vertical Limit ,Color,49536,2000,0
17000000,409,1569918,http://www.imdb.com/title/tt0312549/?ref_=fn_tt_tt_1,6.9,Veronica Guerin ,Color,16234,2003,0
11000000,3133,3753806,http://www.imdb.com/title/tt0383694/?ref_=fn_tt_tt_1,7.7,Vera Drake ,Color,20307,2004,0
7000000,9984,2921738,http://www.imdb.com/title/tt0420332/?ref_=fn_tt_tt_1,7.9,Veer-Zaara ,Color,34449,2004,2000
16000000,23369,52885587,http://www.imdb.com/title/tt0139699/?ref_=fn_tt_tt_1,6.4,Varsity Blues ,Color,35312,1999,0
40000000,6775,72266306,http://www.imdb.com/title/tt0443274/?ref_=fn_tt_tt_1,6.6,Vantage Point ,Color,127528,2008,0
23000000,1618,16123851,http://www.imdb.com/title/tt0241025/?ref_=fn_tt_tt_1,6.2,Vanity Fair ,Color,17373,2004,767
68000000,11458,100614858,http://www.imdb.com/title/tt0259711/?ref_=fn_tt_tt_1,6.9,Vanilla Sky ,Color,206776,2001,0
6000000,19341,21005329,http://www.imdb.com/title/tt0283111/?ref_=fn_tt_tt_1,6.4,Van Wilder: Party Liaison ,Color,89128,2002,0
16000000,3086,2964,http://www.imdb.com/title/tt1545106/?ref_=fn_tt_tt_1,5.1,Vamps ,Color,7444,2012,0
20000000,2898,36658108,http://www.imdb.com/title/tt1666186/?ref_=fn_tt_tt_1,3.5,Vampires Suck ,Color,39095,2010,16000
20000000,5123,20241395,http://www.imdb.com/title/tt0120877/?ref_=fn_tt_tt_1,6.1,Vampires ,Color,42664,1998,0
20000000,2348,19900000,http://www.imdb.com/title/tt0114825/?ref_=fn_tt_tt_1,4.5,Vampire in Brooklyn ,Color,17262,1995,1000
2500000,1064,118666,http://www.imdb.com/title/tt0472200/?ref_=fn_tt_tt_1,6.6,Valley of the Heart's Delight ,Color,91,2006,144
75000000,14165,83077470,http://www.imdb.com/title/tt0985699/?ref_=fn_tt_tt_1,7.1,Valkyrie ,Color,183247,2008,0
35000000,1908,19447478,http://www.imdb.com/title/tt0361089/?ref_=fn_tt_tt_1,5.6,Valiant ,Color,15788,2005,538
52000000,45696,110476776,http://www.imdb.com/title/tt0817230/?ref_=fn_tt_tt_1,5.7,Valentine's Day ,Color,95437,2010,9000
10000000,2402,20384136,http://www.imdb.com/title/tt0242998/?ref_=fn_tt_tt_1,4.7,Valentine ,Color,20467,2001,0
31000000,40312,58879132,http://www.imdb.com/title/tt1524930/?ref_=fn_tt_tt_1,6.1,Vacation ,Color,66123,2015,28000
54000000,22417,70496802,http://www.imdb.com/title/tt0434409/?ref_=fn_tt_tt_1,8.2,V for Vendetta ,Color,791783,2005,48000
225000,964,1027119,http://www.imdb.com/title/tt0182508/?ref_=fn_tt_tt_1,7,Urbania ,Color,2742,2000,72
14000000,2682,21468807,http://www.imdb.com/title/tt0192731/?ref_=fn_tt_tt_1,4.1,Urban Legends: Final Cut ,Color,13048,2000,243
14000000,3500,38048637,http://www.imdb.com/title/tt0146336/?ref_=fn_tt_tt_1,5.5,Urban Legend ,Color,47814,1998,0
25000000,35209,83813460,http://www.imdb.com/title/tt1193138/?ref_=fn_tt_tt_1,7.4,Up in the Air ,Color,270238,2009,19000
60000000,3653,51045801,http://www.imdb.com/title/tt0118055/?ref_=fn_tt_tt_1,6.1,Up Close & Personal ,Color,11370,1996,829
175000000,2635,292979556,http://www.imdb.com/title/tt1049413/?ref_=fn_tt_tt_1,8.3,Up ,Color,665575,2009,27000
35000000,3612,28687835,http://www.imdb.com/title/tt0880578/?ref_=fn_tt_tt_1,6.2,Untraceable ,Color,40964,2008,0
100000000,25780,81557479,http://www.imdb.com/title/tt0477080/?ref_=fn_tt_tt_1,6.8,Unstoppable ,Color,149947,2010,18000
45000000,22383,24520892,http://www.imdb.com/title/tt0342258/?ref_=fn_tt_tt_1,7,Unleashed ,Color,85198,2005,0
60000000,34303,122189806,http://www.imdb.com/title/tt1401152/?ref_=fn_tt_tt_1,6.9,Unknown ,Color,421090,2011,58000
24000000,4024,10431220,http://www.imdb.com/title/tt0176269/?ref_=fn_tt_tt_1,4.1,Universal Soldier: The Return ,Color,24216,1999,401
15000000,313,31471430,http://www.imdb.com/title/tt0475276/?ref_=fn_tt_tt_1,7.6,United 93 ,Color,83374,2006,0
1000000,1565,31537320,http://www.imdb.com/title/tt3713166/?ref_=fn_tt_tt_1,5.7,Unfriended ,Color,44329,2014,13000
14400000,28544,101157447,http://www.imdb.com/title/tt0105695/?ref_=fn_tt_tt_1,8.3,Unforgiven ,Color,277505,1992,10000
35000000,1564,10214013,http://www.imdb.com/title/tt2358925/?ref_=fn_tt_tt_1,5.4,Unfinished Business ,Color,23072,2015,0
