Cast_Likes,Facenumber,Gross,Link,Score,Title
2759,0,95720716,http://www.imdb.com/title/tt1790885/?ref_=fn_tt_tt_1,7.4,Zero Dark Thirty 
29748,2,66488090,http://www.imdb.com/title/tt0145681/?ref_=fn_tt_tt_1,6.7,The Bone Collector 
684,0,1768416,http://www.imdb.com/title/tt1421051/?ref_=fn_tt_tt_1,6.3,Somewhere 
5461,0,9795017,http://www.imdb.com/title/tt0113451/?ref_=fn_tt_tt_1,5.1,Jade 
2243,0,183088,http://www.imdb.com/title/tt0981072/?ref_=fn_tt_tt_1,7,The Lucky Ones 
583,6,33071558,http://www.imdb.com/title/tt2555736/?ref_=fn_tt_tt_1,6.6,The Second Best Exotic Marigold Hotel 
1579,2,52474616,http://www.imdb.com/title/tt1027718/?ref_=fn_tt_tt_1,6.3,Wall Street: Money Never Sleeps 
20233,2,119219978,http://www.imdb.com/title/tt1386588/?ref_=fn_tt_tt_1,6.7,The Other Guys 
28011,4,75590286,http://www.imdb.com/title/tt1156398/?ref_=fn_tt_tt_1,7.7,Zombieland 
22678,0,100125340,http://www.imdb.com/title/tt0114369/?ref_=fn_tt_tt_1,8.6,Se7en 
1293,0,67325559,http://www.imdb.com/title/tt0311289/?ref_=fn_tt_tt_1,7.1,Holes 
10822,2,3275443,http://www.imdb.com/title/tt0449999/?ref_=fn_tt_tt_1,6,Kabhi Alvida Naa Kehna 
14504,0,34180954,http://www.imdb.com/title/tt0976051/?ref_=fn_tt_tt_1,7.6,The Reader 
28927,3,42615685,http://www.imdb.com/title/tt2557490/?ref_=fn_tt_tt_1,6.1,A Million Ways to Die in the West 
10886,2,150315155,http://www.imdb.com/title/tt1528854/?ref_=fn_tt_tt_1,6.1,Daddy's Home 
10792,1,30628981,http://www.imdb.com/title/tt0167427/?ref_=fn_tt_tt_1,5,Superstar 
19923,2,6401336,http://www.imdb.com/title/tt0102494/?ref_=fn_tt_tt_1,7.1,My Own Private Idaho 
16691,1,83503161,http://www.imdb.com/title/tt1253864/?ref_=fn_tt_tt_1,6.1,Immortals 
4091,2,4131640,http://www.imdb.com/title/tt1001562/?ref_=fn_tt_tt_1,3.1,Witless Protection 
16004,2,15281286,http://www.imdb.com/title/tt0403702/?ref_=fn_tt_tt_1,6.5,Youth in Revolt 
1362,0,536767,http://www.imdb.com/title/tt0138987/?ref_=fn_tt_tt_1,5.3,20 Dates 
14889,2,529766,http://www.imdb.com/title/tt0114660/?ref_=fn_tt_tt_1,6.8,Things to Do in Denver When You're Dead 
27756,2,46451,http://www.imdb.com/title/tt1106860/?ref_=fn_tt_tt_1,6,Ca$h 
2024,0,5100000,http://www.imdb.com/title/tt0087428/?ref_=fn_tt_tt_1,6,The Hotel New Hampshire 
36928,0,33048353,http://www.imdb.com/title/tt0443706/?ref_=fn_tt_tt_1,7.7,Zodiac 
3286,4,763044,http://www.imdb.com/title/tt0340376/?ref_=fn_tt_tt_1,6.2,The Statement 
2961,0,17797316,http://www.imdb.com/title/tt1322312/?ref_=fn_tt_tt_1,6.3,Going the Distance 
9131,2,102176165,http://www.imdb.com/title/tt0859163/?ref_=fn_tt_tt_1,5.2,The Mummy: Tomb of the Dragon Emperor 
3963,3,18595716,http://www.imdb.com/title/tt0429591/?ref_=fn_tt_tt_1,5.3,Aquamarine 
14165,0,83077470,http://www.imdb.com/title/tt0985699/?ref_=fn_tt_tt_1,7.1,Valkyrie 
3374,5,4244155,http://www.imdb.com/title/tt1588334/?ref_=fn_tt_tt_1,6.5,"Jeff, Who Lives at Home "
2687,0,5018450,http://www.imdb.com/title/tt0206420/?ref_=fn_tt_tt_1,5.3,Woman on Top 
14790,0,141204016,http://www.imdb.com/title/tt0295701/?ref_=fn_tt_tt_1,5.8,xXx 
1582,0,26236603,http://www.imdb.com/title/tt1125849/?ref_=fn_tt_tt_1,7.9,The Wrestler 
17369,0,227137090,http://www.imdb.com/title/tt0440963/?ref_=fn_tt_tt_1,8.1,The Bourne Ultimatum 
1141,3,8134217,http://www.imdb.com/title/tt1042877/?ref_=fn_tt_tt_1,7,Cadillac Records 
1450,0,29106737,http://www.imdb.com/title/tt0120772/?ref_=fn_tt_tt_1,6,The Object of My Affection 
774,1,198407,http://www.imdb.com/title/tt0423169/?ref_=fn_tt_tt_1,6.6,Sherrybaby 
284,1,110536,http://www.imdb.com/title/tt0307109/?ref_=fn_tt_tt_1,7,The Lost Skeleton of Cadavra 
14931,0,77086030,http://www.imdb.com/title/tt0141926/?ref_=fn_tt_tt_1,6.6,U-571 
2282,1,265107,http://www.imdb.com/title/tt0206226/?ref_=fn_tt_tt_1,6.3,Psycho Beach Party 
22319,0,531009,http://www.imdb.com/title/tt3707106/?ref_=fn_tt_tt_1,5.3,By the Sea 
32232,0,28045540,http://www.imdb.com/title/tt0406375/?ref_=fn_tt_tt_1,6.1,Zathura: A Space Adventure 
30978,1,317040,http://www.imdb.com/title/tt0954990/?ref_=fn_tt_tt_1,6.8,The Yellow Handkerchief 
4739,1,87965684,http://www.imdb.com/title/tt0380510/?ref_=fn_tt_tt_1,6.7,The Lovely Bones 
12458,4,169922,http://www.imdb.com/title/tt0299977/?ref_=fn_tt_tt_1,7.9,Hero 
2510,1,5844929,http://www.imdb.com/title/tt0296166/?ref_=fn_tt_tt_1,7,Real Women Have Curves 
1846,1,14294842,http://www.imdb.com/title/tt0308208/?ref_=fn_tt_tt_1,3.6,Ballistic: Ecks vs. Sever 
638,7,31452765,http://www.imdb.com/title/tt1007028/?ref_=fn_tt_tt_1,6.6,Zack and Miri Make a Porno 
17866,2,33305037,http://www.imdb.com/title/tt2404425/?ref_=fn_tt_tt_1,7.3,Woman in Gold 
17771,1,90454043,http://www.imdb.com/title/tt0186566/?ref_=fn_tt_tt_1,6.4,Space Cowboys 
4377,0,1752214,http://www.imdb.com/title/tt0817177/?ref_=fn_tt_tt_1,7.7,Flipped 
1317,5,291709845,http://www.imdb.com/title/tt0363771/?ref_=fn_tt_tt_1,6.9,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe "
359,1,1098224,http://www.imdb.com/title/tt0349159/?ref_=fn_tt_tt_1,3.3,"The Book of Mormon Movie, Volume 1: The Journey "
10040,1,6851969,http://www.imdb.com/title/tt1714206/?ref_=fn_tt_tt_1,7.1,The Spectacular Now 
17716,0,136801374,http://www.imdb.com/title/tt0120689/?ref_=fn_tt_tt_1,8.5,The Green Mile 
776,1,2426851,http://www.imdb.com/title/tt0796375/?ref_=fn_tt_tt_1,6.5,You Kill Me 
20440,1,80574010,http://www.imdb.com/title/tt0879870/?ref_=fn_tt_tt_1,5.7,Eat Pray Love 
2240,3,14891000,http://www.imdb.com/title/tt0116324/?ref_=fn_tt_tt_1,6.8,Flirting with Disaster 
23227,2,169705587,http://www.imdb.com/title/tt1454029/?ref_=fn_tt_tt_1,8.1,The Help 
5039,0,21176322,http://www.imdb.com/title/tt0329691/?ref_=fn_tt_tt_1,4,Torque 
39518,2,12667,http://www.imdb.com/title/tt0449061/?ref_=fn_tt_tt_1,6.6,London 
956,0,96471845,http://www.imdb.com/title/tt0230600/?ref_=fn_tt_tt_1,7.6,The Others 
46726,1,79883359,http://www.imdb.com/title/tt1568911/?ref_=fn_tt_tt_1,7.2,War Horse 
4243,0,52000688,http://www.imdb.com/title/tt1424381/?ref_=fn_tt_tt_1,6.4,Predators 
12874,2,148734225,http://www.imdb.com/title/tt0478311/?ref_=fn_tt_tt_1,7,Knocked Up 
973,2,1573712,http://www.imdb.com/title/tt1742336/?ref_=fn_tt_tt_1,6.7,Your Sister's Sister 
914,3,71017784,http://www.imdb.com/title/tt2017020/?ref_=fn_tt_tt_1,5.4,The Smurfs 2 
47677,6,66950483,http://www.imdb.com/title/tt1698641/?ref_=fn_tt_tt_1,6.2,"Alexander and the Terrible, Horrible, No Good, Very Bad Day "
29505,1,97680195,http://www.imdb.com/title/tt1068680/?ref_=fn_tt_tt_1,6.8,Yes Man 
1942,0,90135191,http://www.imdb.com/title/tt0327056/?ref_=fn_tt_tt_1,8,Mystic River 
51355,1,11434867,http://www.imdb.com/title/tt1840417/?ref_=fn_tt_tt_1,7.1,The Words 
2300,7,34522221,http://www.imdb.com/title/tt1630036/?ref_=fn_tt_tt_1,7,Courageous 
18216,1,28965197,http://www.imdb.com/title/tt0140352/?ref_=fn_tt_tt_1,7.9,The Insider 
964,1,1027119,http://www.imdb.com/title/tt0182508/?ref_=fn_tt_tt_1,7,Urbania 
13191,4,317557891,http://www.imdb.com/title/tt0241527/?ref_=fn_tt_tt_1,7.5,Harry Potter and the Sorcerer's Stone 
45202,3,21557240,http://www.imdb.com/title/tt1240982/?ref_=fn_tt_tt_1,5.6,Your Highness 
13495,0,28341469,http://www.imdb.com/title/tt0111161/?ref_=fn_tt_tt_1,9.3,The Shawshank Redemption 
29370,4,50003300,http://www.imdb.com/title/tt0110367/?ref_=fn_tt_tt_1,7.3,Little Women 
605,1,4250320,http://www.imdb.com/title/tt0090357/?ref_=fn_tt_tt_1,6.8,Young Sherlock Holmes 
1395,1,7282851,http://www.imdb.com/title/tt0095863/?ref_=fn_tt_tt_1,6.5,Phantasm II 
43499,3,117144465,http://www.imdb.com/title/tt0496806/?ref_=fn_tt_tt_1,6.9,Ocean's Thirteen 
6313,4,69148997,http://www.imdb.com/title/tt0381707/?ref_=fn_tt_tt_1,5.4,White Chicks 
31488,1,187991439,http://www.imdb.com/title/tt0816692/?ref_=fn_tt_tt_1,8.6,Interstellar 
1747,5,44726644,http://www.imdb.com/title/tt0096487/?ref_=fn_tt_tt_1,6.8,Young Guns 
13403,0,50818750,http://www.imdb.com/title/tt0420238/?ref_=fn_tt_tt_1,6.1,The Tale of Despereaux 
1233,1,3347439,http://www.imdb.com/title/tt0410454/?ref_=fn_tt_tt_1,6.9,The Work and the Glory 
16926,1,13650738,http://www.imdb.com/title/tt2503944/?ref_=fn_tt_tt_1,6.6,Burnt 
315,0,9628751,http://www.imdb.com/title/tt0259974/?ref_=fn_tt_tt_1,5.9,Digimon: The Movie 
3847,6,86930411,http://www.imdb.com/title/tt0102510/?ref_=fn_tt_tt_1,6.8,The Naked Gun 2½: The Smell of Fear 
664,2,226138454,http://www.imdb.com/title/tt0266915/?ref_=fn_tt_tt_1,6.6,Rush Hour 2 
13446,0,100018837,http://www.imdb.com/title/tt0960144/?ref_=fn_tt_tt_1,5.5,You Don't Mess with the Zohan 
7752,0,153200000,http://www.imdb.com/title/tt0084516/?ref_=fn_tt_tt_1,7.4,Poltergeist 
1164,1,63600000,http://www.imdb.com/title/tt0059800/?ref_=fn_tt_tt_1,7,Thunderball 
3629,7,110000082,http://www.imdb.com/title/tt0306047/?ref_=fn_tt_tt_1,5.5,Scary Movie 3 
2703,0,86300000,http://www.imdb.com/title/tt0072431/?ref_=fn_tt_tt_1,8,Young Frankenstein 
10575,1,16300302,http://www.imdb.com/title/tt1625346/?ref_=fn_tt_tt_1,6.3,Young Adult 
2538,1,515005,http://www.imdb.com/title/tt0058182/?ref_=fn_tt_tt_1,7.7,A Hard Day's Night 
53649,0,532031025,http://www.imdb.com/title/tt2224026/?ref_=fn_tt_tt_1,6.7,Home 
2387,0,159600000,http://www.imdb.com/title/tt0070735/?ref_=fn_tt_tt_1,8.3,The Sting 
546,0,5709616,http://www.imdb.com/title/tt0313196/?ref_=fn_tt_tt_1,6.8,El crimen del padre Amaro 
2310,3,31937,http://www.imdb.com/title/tt0893346/?ref_=fn_tt_tt_1,5.7,Kiss the Bride 
17768,2,115731542,http://www.imdb.com/title/tt0128853/?ref_=fn_tt_tt_1,6.5,You've Got Mail 
20881,1,19781879,http://www.imdb.com/title/tt0831887/?ref_=fn_tt_tt_1,4.8,The Spirit 
4478,0,120618403,http://www.imdb.com/title/tt0120762/?ref_=fn_tt_tt_1,7.5,Mulan 
2297,5,80270227,http://www.imdb.com/title/tt0377818/?ref_=fn_tt_tt_1,5.1,The Dukes of Hazzard 
3547,0,1738692,http://www.imdb.com/title/tt1242460/?ref_=fn_tt_tt_1,7.5,We Need to Talk About Kevin 
1411,0,23000,http://www.imdb.com/title/tt0462485/?ref_=fn_tt_tt_1,6.2,Poultrygeist: Night of the Chicken Dead 
673,0,25359200,http://www.imdb.com/title/tt1065073/?ref_=fn_tt_tt_1,8,Boyhood 
1920,1,36000000,http://www.imdb.com/title/tt0046247/?ref_=fn_tt_tt_1,6.8,The Robe 
3023,0,41867960,http://www.imdb.com/title/tt0245674/?ref_=fn_tt_tt_1,5.5,Thir13en Ghosts 
2725,0,251188924,http://www.imdb.com/title/tt0096895/?ref_=fn_tt_tt_1,7.6,Batman 
847,1,75604320,http://www.imdb.com/title/tt0463034/?ref_=fn_tt_tt_1,5.6,"You, Me and Dupree "
12776,5,5108820,http://www.imdb.com/title/tt0176783/?ref_=fn_tt_tt_1,5.9,Gossip 
39463,2,4435083,http://www.imdb.com/title/tt2058107/?ref_=fn_tt_tt_1,7.1,The Railway Man 
19310,0,3247816,http://www.imdb.com/title/tt1182350/?ref_=fn_tt_tt_1,6.3,You Will Meet a Tall Dark Stranger 
18947,4,3588432,http://www.imdb.com/title/tt2870708/?ref_=fn_tt_tt_1,6.7,Wish I Was Here 
1439,1,65012000,http://www.imdb.com/title/tt0111742/?ref_=fn_tt_tt_1,6.2,Wolf 
1421,2,25482931,http://www.imdb.com/title/tt0278295/?ref_=fn_tt_tt_1,5.7,All About the Benjamins 
955,2,10097096,http://www.imdb.com/title/tt0290332/?ref_=fn_tt_tt_1,4.6,The Wash 
13321,2,94125426,http://www.imdb.com/title/tt1135503/?ref_=fn_tt_tt_1,7,Julie & Julia 
40054,0,179883016,http://www.imdb.com/title/tt0458525/?ref_=fn_tt_tt_1,6.7,X-Men Origins: Wolverine 
23603,1,172620724,http://www.imdb.com/title/tt0118571/?ref_=fn_tt_tt_1,6.4,Air Force One 
2127,0,43100000,http://www.imdb.com/title/tt0062512/?ref_=fn_tt_tt_1,6.9,You Only Live Twice 
1171,0,4717455,http://www.imdb.com/title/tt0199626/?ref_=fn_tt_tt_1,5.3,In the Cut 
2820,0,4306697,http://www.imdb.com/title/tt0120255/?ref_=fn_tt_tt_1,7.7,The Sweet Hereafter 
952,0,44469602,http://www.imdb.com/title/tt2097298/?ref_=fn_tt_tt_1,7.4,"McFarland, USA "
914,1,30400000,http://www.imdb.com/title/tt0086619/?ref_=fn_tt_tt_1,6.6,Yentl 
15590,3,87341380,http://www.imdb.com/title/tt0910936/?ref_=fn_tt_tt_1,7,Pineapple Express 
12786,1,20389967,http://www.imdb.com/title/tt1124037/?ref_=fn_tt_tt_1,6.7,Free State of Jones 
3344,2,19693891,http://www.imdb.com/title/tt0234829/?ref_=fn_tt_tt_1,4.9,Summer Catch 
2389,0,15500000,http://www.imdb.com/title/tt0139809/?ref_=fn_tt_tt_1,7,The Thirteenth Floor 
132,1,223878,http://www.imdb.com/title/tt0323807/?ref_=fn_tt_tt_1,6.5,"Remember Me, My Love "
1792,0,40066497,http://www.imdb.com/title/tt0365957/?ref_=fn_tt_tt_1,3.5,You Got Served 
78,3,592014,http://www.imdb.com/title/tt0390538/?ref_=fn_tt_tt_1,7.2,Tarnation 
1088,0,669276,http://www.imdb.com/title/tt0112389/?ref_=fn_tt_tt_1,7.2,The Princess and the Cobbler 
764,4,104383624,http://www.imdb.com/title/tt0980970/?ref_=fn_tt_tt_1,6.3,The Chronicles of Narnia: The Voyage of the Dawn Treader 
115,0,94596,http://www.imdb.com/title/tt0123948/?ref_=fn_tt_tt_1,7.4,The Cure 
4288,0,9180275,http://www.imdb.com/title/tt0203230/?ref_=fn_tt_tt_1,7.7,You Can Count on Me 
387,2,11798,http://www.imdb.com/title/tt0396041/?ref_=fn_tt_tt_1,4.7,Gory Gory Hallelujah 
4813,6,25677801,http://www.imdb.com/title/tt1414382/?ref_=fn_tt_tt_1,5.8,You Again 
5046,2,93417865,http://www.imdb.com/title/tt1964418/?ref_=fn_tt_tt_1,6.5,Tomorrowland 
30230,1,1339152,http://www.imdb.com/title/tt1754656/?ref_=fn_tt_tt_1,7.8,The Little Prince 
1675,0,227965690,http://www.imdb.com/title/tt0286106/?ref_=fn_tt_tt_1,6.7,Signs 
20952,4,214948780,http://www.imdb.com/title/tt0290334/?ref_=fn_tt_tt_1,7.5,X-Men 2 
4394,0,100169068,http://www.imdb.com/title/tt1302067/?ref_=fn_tt_tt_1,4.6,Yogi Bear 
69746,1,9170214,http://www.imdb.com/title/tt0108550/?ref_=fn_tt_tt_1,7.8,What's Eating Gilbert Grape 
6315,2,92001027,http://www.imdb.com/title/tt0117731/?ref_=fn_tt_tt_1,7.6,Star Trek: First Contact 
13388,0,63143812,http://www.imdb.com/title/tt0963966/?ref_=fn_tt_tt_1,6.1,The Sorcerer's Apprentice 
4315,1,39440655,http://www.imdb.com/title/tt1126591/?ref_=fn_tt_tt_1,6.4,Burlesque 
2721,0,396035,http://www.imdb.com/title/tt0381717/?ref_=fn_tt_tt_1,6.9,Yes 
31600,1,85838192,http://www.imdb.com/title/tt0882977/?ref_=fn_tt_tt_1,6.5,Snitch 
3352,0,8026971,http://www.imdb.com/title/tt0120531/?ref_=fn_tt_tt_1,3.8,Woo 
12258,2,43337279,http://www.imdb.com/title/tt1045778/?ref_=fn_tt_tt_1,4.9,Year One 
1947,1,10268846,http://www.imdb.com/title/tt0365929/?ref_=fn_tt_tt_1,5.5,Whiteout 
4837,1,14003141,http://www.imdb.com/title/tt0160401/?ref_=fn_tt_tt_1,6.1,In Too Deep 
361,1,13622333,http://www.imdb.com/title/tt0245574/?ref_=fn_tt_tt_1,7.7,Y Tu Mamá También 
16461,3,33860010,http://www.imdb.com/title/tt0881891/?ref_=fn_tt_tt_1,4.8,All About Steve 
20276,3,62401264,http://www.imdb.com/title/tt3300542/?ref_=fn_tt_tt_1,5.9,London Has Fallen 
2016,1,8662318,http://www.imdb.com/title/tt0865559/?ref_=fn_tt_tt_1,5.9,My Life in Ruins 
5708,0,25052000,http://www.imdb.com/title/tt0111756/?ref_=fn_tt_tt_1,6.6,Wyatt Earp 
416,0,3950029,http://www.imdb.com/title/tt1588337/?ref_=fn_tt_tt_1,7.2,Of Gods and Men 
4987,0,124720,http://www.imdb.com/title/tt1150947/?ref_=fn_tt_tt_1,7.3,"Lovely, Still "
295,0,982214,http://www.imdb.com/title/tt0139615/?ref_=fn_tt_tt_1,7.2,Slam 
1980,3,3325638,http://www.imdb.com/title/tt1990314/?ref_=fn_tt_tt_1,7.1,Robot & Frank 
1574,1,106807667,http://www.imdb.com/title/tt0212346/?ref_=fn_tt_tt_1,6.2,Miss Congeniality 
3072,2,18967571,http://www.imdb.com/title/tt0120008/?ref_=fn_tt_tt_1,6.1,The Replacement Killers 
337,0,66359959,http://www.imdb.com/title/tt1588173/?ref_=fn_tt_tt_1,6.9,Warm Bodies 
5761,1,131617,http://www.imdb.com/title/tt0443496/?ref_=fn_tt_tt_1,6.3,Edmond 
1335,2,28535768,http://www.imdb.com/title/tt0129280/?ref_=fn_tt_tt_1,5.3,The Out-of-Towners 
993,2,26082914,http://www.imdb.com/title/tt0329774/?ref_=fn_tt_tt_1,4.3,xXx: State of the Union 
1148,1,436471036,http://www.imdb.com/title/tt0298148/?ref_=fn_tt_tt_1,7.2,Shrek 2 
17584,2,121463226,http://www.imdb.com/title/tt0829482/?ref_=fn_tt_tt_1,7.6,Superbad 
901,1,7369373,http://www.imdb.com/title/tt0090327/?ref_=fn_tt_tt_1,5.7,Witchboard 
54075,43,32391374,http://www.imdb.com/title/tt1022603/?ref_=fn_tt_tt_1,7.7,500 Days of Summer 
928,1,62480,http://www.imdb.com/title/tt3277624/?ref_=fn_tt_tt_1,5.5,Creative Control 
2499,0,14677654,http://www.imdb.com/title/tt3170832/?ref_=fn_tt_tt_1,8.3,Room 
81115,0,292568851,http://www.imdb.com/title/tt1375666/?ref_=fn_tt_tt_1,8.8,Inception 
5838,1,182805123,http://www.imdb.com/title/tt0207201/?ref_=fn_tt_tt_1,6.4,What Women Want 
3869,0,52066000,http://www.imdb.com/title/tt1020072/?ref_=fn_tt_tt_1,7.5,Selma 
35694,2,63910583,http://www.imdb.com/title/tt1204975/?ref_=fn_tt_tt_1,6.6,Last Vegas 
21714,0,234360014,http://www.imdb.com/title/tt0376994/?ref_=fn_tt_tt_1,6.8,X-Men: The Last Stand 
13430,0,75367693,http://www.imdb.com/title/tt0356634/?ref_=fn_tt_tt_1,5,Garfield 
2163,2,115862,http://www.imdb.com/title/tt1226232/?ref_=fn_tt_tt_1,6.7,The Greatest 
1554,0,71346930,http://www.imdb.com/title/tt1702439/?ref_=fn_tt_tt_1,6.7,Safe Haven 
22479,1,65500000,http://www.imdb.com/title/tt0090329/?ref_=fn_tt_tt_1,7.4,Witness 
38751,6,101470202,http://www.imdb.com/title/tt1245492/?ref_=fn_tt_tt_1,6.7,This Is the End 
711,0,6734844,http://www.imdb.com/title/tt0091635/?ref_=fn_tt_tt_1,5.9,9½ Weeks 
2998,1,62318875,http://www.imdb.com/title/tt0401855/?ref_=fn_tt_tt_1,6.8,Underworld: Evolution 
18760,0,23393765,http://www.imdb.com/title/tt2318092/?ref_=fn_tt_tt_1,6.3,Endless Love 
19341,0,21005329,http://www.imdb.com/title/tt0283111/?ref_=fn_tt_tt_1,6.4,Van Wilder: Party Liaison 
9271,2,30324946,http://www.imdb.com/title/tt0120770/?ref_=fn_tt_tt_1,6.2,A Night at the Roxbury 
23504,0,63826569,http://www.imdb.com/title/tt0119360/?ref_=fn_tt_tt_1,6.3,In & Out 
50983,3,146405371,http://www.imdb.com/title/tt1270798/?ref_=fn_tt_tt_1,7.8,X-Men: First Class 
91434,7,233914986,http://www.imdb.com/title/tt1877832/?ref_=fn_tt_tt_1,8,X-Men: Days of Future Past 
19809,2,83299761,http://www.imdb.com/title/tt2140373/?ref_=fn_tt_tt_1,7.5,Saving Mr. Banks 
7243,1,15962471,http://www.imdb.com/title/tt0422720/?ref_=fn_tt_tt_1,6.4,Marie Antoinette 
5187,1,47456450,http://www.imdb.com/title/tt0431197/?ref_=fn_tt_tt_1,7.1,The Kingdom 
49684,6,154985087,http://www.imdb.com/title/tt3385516/?ref_=fn_tt_tt_1,7.3,X-Men: Apocalypse 
1673,9,118823091,http://www.imdb.com/title/tt0427327/?ref_=fn_tt_tt_1,6.7,Hairspray 
3690,0,1247453,http://www.imdb.com/title/tt0423409/?ref_=fn_tt_tt_1,6.8,Tristram Shandy: A Cock and Bull Story 
16611,0,26183197,http://www.imdb.com/title/tt0266465/?ref_=fn_tt_tt_1,6.1,A Man Apart 
21397,0,157299717,http://www.imdb.com/title/tt0120903/?ref_=fn_tt_tt_1,7.4,X-Men 
4720,2,104077,http://www.imdb.com/title/tt0477139/?ref_=fn_tt_tt_1,7.4,Wristcutters: A Love Story 
2110,0,410241,http://www.imdb.com/title/tt0283003/?ref_=fn_tt_tt_1,6.8,Spun 
0,1,8231,http://www.imdb.com/title/tt0067580/?ref_=fn_tt_tt_1,6.7,Pink Narcissus 
486,0,56437947,http://www.imdb.com/title/tt0436697/?ref_=fn_tt_tt_1,7.3,The Queen 
1607,2,43848100,http://www.imdb.com/title/tt0094291/?ref_=fn_tt_tt_1,7.4,Wall Street 
3174,1,70001065,http://www.imdb.com/title/tt0120611/?ref_=fn_tt_tt_1,7.1,Blade 
4451,1,189412677,http://www.imdb.com/title/tt1772341/?ref_=fn_tt_tt_1,7.8,Wreck-It Ralph 
16184,0,83640426,http://www.imdb.com/title/tt1646987/?ref_=fn_tt_tt_1,5.8,Wrath of the Titans 
12760,0,180965237,http://www.imdb.com/title/tt0117060/?ref_=fn_tt_tt_1,7.1,Mission: Impossible 
2318,1,50024083,http://www.imdb.com/title/tt0114781/?ref_=fn_tt_tt_1,5.4,Under Siege 2: Dark Territory 
3969,0,30981850,http://www.imdb.com/title/tt0430308/?ref_=fn_tt_tt_1,5,Get Rich or Die Tryin' 
26940,0,38120554,http://www.imdb.com/title/tt0133240/?ref_=fn_tt_tt_1,7.1,Treasure Planet 
5005,0,237282182,http://www.imdb.com/title/tt1217209/?ref_=fn_tt_tt_1,7.2,Brave 
2449,1,511920,http://www.imdb.com/title/tt0361500/?ref_=fn_tt_tt_1,4.4,Delgo 
32392,0,202351611,http://www.imdb.com/title/tt0816711/?ref_=fn_tt_tt_1,7,World War Z 
14421,0,70236496,http://www.imdb.com/title/tt0469641/?ref_=fn_tt_tt_1,6,World Trade Center 
27694,8,20315324,http://www.imdb.com/title/tt1509767/?ref_=fn_tt_tt_1,5.8,The Three Musketeers 
26652,0,35007180,http://www.imdb.com/title/tt0192614/?ref_=fn_tt_tt_1,5.6,The Skulls 
8281,0,37516013,http://www.imdb.com/title/tt1611224/?ref_=fn_tt_tt_1,5.9,Abraham Lincoln: Vampire Hunter 
42344,1,18653746,http://www.imdb.com/title/tt0142688/?ref_=fn_tt_tt_1,6.7,The Ninth Gate 
778,0,13300000,http://www.imdb.com/title/tt0066580/?ref_=fn_tt_tt_1,8.1,Woodstock 
